timestamp,Date,Relative Time(mS),Power-IA Power(Watts),Power-GT Power(Watts),Power-Package Power(Watts),Turbo Parameters-MMIO Power Limit_1 Enabled(),Turbo Parameters-MMIO Power Limit_1 Critical Clamp(),Turbo Parameters-MMIO Power Limit_1 Power(Watts),Turbo Parameters-MMIO Power Limit_1 Time(Seconds),Turbo Parameters-MMIO Power Limit_2 Enabled(),Turbo Parameters-MMIO Power Limit_2 Power(Watts),Turbo Parameters-MMIO Power Limit_2 Time(Seconds),Turbo Parameters-PECI Pkg Power Limit_1 Enabled(),Turbo Parameters-PECI Pkg Power Limit_1 Power(Watts),Turbo Parameters-PECI Pkg Power Limit_1 Time(Seconds),Turbo Parameters-PECI Pkg Power Limit_2 Enabled(),Turbo Parameters-PECI Pkg Power Limit_2 Power(Watts),Turbo Parameters-PECI Pkg Power Limit_2 Time(Seconds)
152337559,20220805,0,2.389072,0.088566,7.435121,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152338565,20220805,1006,0.869212,0.009873,5.171174,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152339562,20220805,2003,0.984632,0.000485,5.334448,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152340543,20220805,2984,1.104198,0.002202,5.189151,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152341626,20220805,4067,1.747225,0.08794,6.28127,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152342538,20220805,4979,1.810109,0.054504,6.656436,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152343583,20220805,6024,1.383039,0.058154,5.987609,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152344567,20220805,7008,1.263457,0.076922,5.989739,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152345562,20220805,8003,1.453667,0.079849,6.205469,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152346565,20220805,9006,1.885833,0.177646,6.98279,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152347567,20220805,10008,2.722448,0.104927,7.677481,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152348557,20220805,10998,0.558505,0.010893,4.179113,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152349613,20220805,12054,0.388119,0.004567,4.091207,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152350542,20220805,12983,0.650039,0.003182,4.45574,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152351593,20220805,14034,0.684709,0.00781,4.296416,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152352551,20220805,14992,1.020698,0.036296,5.283693,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152353575,20220805,16016,1.471852,0.080531,6.54223,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152354552,20220805,16993,0.9377,0.011384,5.286813,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152355623,20220805,18064,0.6146,0.020553,4.373228,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152356579,20220805,19020,1.224062,0.349643,6.273867,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152357561,20220805,20002,3.327951,0.019705,8.080313,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152358618,20220805,21059,1.298379,0.066065,5.912338,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152359602,20220805,22043,1.110863,0.223661,6.051307,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152400562,20220805,23003,0.986187,0.009997,5.425609,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152401591,20220805,24032,0.864601,0.011253,5.306498,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152402585,20220805,25026,0.668424,0.004918,4.392635,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152403577,20220805,26018,0.558659,0.004118,4.8479,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152404563,20220805,27004,1.639528,0.13338,6.566412,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152405632,20220805,28073,0.483138,0.006073,4.008987,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152406569,20220805,29010,1.969683,0.00571,6.720833,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
