Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,16:57:22:476,0,1837,37,3.837258,0.952894,0.021031,4.526088,4.609794,14.485614,14.476740,2.809075,0.800903,0.000000
09/08/2022,16:57:23:444,968,1082,37,3.820794,0.315971,0.003262,5.411784,3.159711,10.385290,10.385290,2.146169,1.114258,0.000000
09/08/2022,16:57:24:457,1981,1210,36,3.824303,0.676267,0.162760,6.245931,3.839257,12.712849,12.712849,2.412684,0.751953,0.000000
09/08/2022,16:57:25:453,2977,1271,35,3.802925,0.209159,0.823975,4.673549,3.075120,10.401970,10.414298,2.156555,0.751587,0.000000
09/08/2022,16:57:26:466,3990,1832,36,3.783101,0.199203,0.322614,5.463809,3.104651,10.824793,10.812353,2.198551,0.800049,0.000000
09/08/2022,16:57:27:467,4991,1869,35,3.762484,0.214602,0.001835,4.867899,3.147618,10.930721,10.930721,2.214618,0.798584,0.000000
09/08/2022,16:57:28:462,5986,921,35,3.750280,0.253540,0.004885,4.760217,3.323540,11.630852,11.630852,2.350098,0.831787,0.000000
09/08/2022,16:57:29:458,6982,1771,36,3.729700,0.291986,0.004604,4.682024,3.083986,10.270915,10.260593,2.086666,0.789795,0.000000
09/08/2022,16:57:30:469,7993,917,35,3.712439,0.251164,0.002051,4.505831,3.196328,10.981181,10.992217,2.223923,0.848755,0.000000
09/08/2022,16:57:31:466,8990,854,35,3.694485,0.255711,0.003612,4.565306,3.169298,10.729510,10.729510,2.194489,0.842407,0.000000
09/08/2022,16:57:32:484,10008,670,35,3.679591,0.270405,0.000993,4.598442,3.176250,10.829948,10.844993,2.196409,0.850098,0.000000
09/08/2022,16:57:33:448,10972,1827,40,3.765737,2.383414,0.000974,5.283356,5.890532,16.061608,16.046845,2.726576,0.801025,0.000000
09/08/2022,16:57:34:466,11990,1397,36,3.759414,0.291155,0.057220,5.889893,3.429417,12.017594,12.017594,2.417512,0.756104,0.000000
09/08/2022,16:57:35:477,13001,1552,36,3.746265,0.258959,0.000304,4.013932,3.324045,11.473292,11.473292,2.331267,0.829224,0.000000
