timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
173355359,2192883,2394,82,11.732757,16.049865,0.338952,7.770538,23.222937,44.239391,44.239391,5.519243,0.907959,0.0
173356369,2193893,2800,85,12.142199,15.718062,0.447694,7.087708,23.090382,44.359843,44.359843,5.587172,0.927246,0.0
173357358,2194882,2656,81,12.485203,14.656473,0.210648,7.113571,21.558599,42.216688,42.216688,5.428322,0.848267,0.0
173358356,2195880,2749,83,12.834811,15.819334,0.036445,6.463799,22.353044,42.727633,42.727633,5.278584,0.959106,0.0
173359360,2196884,2767,87,13.143104,14.944415,0.035987,7.48291,21.473809,41.572839,41.572839,5.271713,0.9646,0.0
173400379,2197903,2550,84,13.460979,15.478516,0.033662,6.708688,22.078204,42.244223,42.244223,5.346595,0.867554,0.0
173401495,2199019,2315,82,13.69122,13.174718,0.036171,7.186322,19.6825,39.021171,39.021171,5.264776,0.90564,0.851562
173402322,2199846,2394,88,13.953155,13.666659,0.031294,6.689753,20.229048,40.059371,40.059371,5.304485,0.874634,0.0
173403535,2201059,2308,82,14.155897,14.219609,0.034963,7.374705,20.829566,40.661061,40.661061,5.344714,0.86084,0.0
173404290,2201814,2426,82,14.479454,14.865933,0.033371,7.180985,21.585353,41.684747,41.684747,5.438268,0.900269,0.0
173405494,2203018,2290,82,14.663206,14.66277,0.045138,6.379829,21.344843,41.323226,41.323226,5.407553,0.878784,0.0
173406311,2203835,2154,86,14.942014,14.517384,0.027412,6.824802,21.167187,41.000062,41.000062,5.387873,0.856323,0.0
173407444,2204968,2356,83,15.125471,14.454982,0.035769,6.840859,21.183233,41.14808,41.14808,5.446995,0.942993,0.84375
173408362,2205886,2337,82,15.369102,14.418558,0.034916,6.551107,21.161113,41.172095,41.172095,5.456005,0.881348,0.0
173409478,2207002,2169,85,15.561544,14.485813,0.035604,6.937663,21.196764,41.108906,41.064174,5.433928,0.893066,0.0
173410358,2207882,2277,86,15.768908,14.031372,0.037842,6.568316,20.761885,40.763937,40.763937,5.446336,0.913452,0.0
173411478,2209002,2122,85,15.912932,13.595705,0.037555,7.167816,20.358867,40.124553,40.170149,5.475874,0.903198,0.84375
173412345,2209869,2295,88,16.125359,14.451137,0.031595,7.22396,21.170582,41.066578,41.066578,5.452165,0.871216,0.0
173413458,2210982,2325,82,16.258174,13.708525,0.037582,8.202164,20.356767,40.303407,40.303407,5.397836,0.898315,0.0
173414361,2211885,2098,85,16.424681,13.79028,0.030545,6.721469,20.499149,40.324496,40.324496,5.431691,0.853271,0.0
