Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,17:44:08:627,2806151,2453,88,15.916898,11.229291,0.383871,6.366730,17.435544,35.089661,35.089661,4.651367,0.915283,0.000000
09/08/2022,17:44:09:616,2807140,1968,88,16.098134,13.357918,0.525818,9.039888,20.918115,41.661175,41.661175,5.652026,0.820923,1.070312
09/08/2022,17:44:10:623,2808147,2309,85,16.279579,12.920215,0.996803,5.781914,21.291504,42.624880,42.624880,5.913998,0.888062,0.000000
09/08/2022,17:44:11:613,2809137,2338,89,16.448012,13.116160,0.622965,6.354117,20.973021,41.880118,41.880118,5.797674,0.869751,0.000000
09/08/2022,17:44:12:667,2810191,2474,89,16.539840,11.905929,0.295087,6.809405,19.020472,38.847212,38.847212,5.500261,0.876221,0.000000
09/08/2022,17:44:13:681,2811205,2247,90,16.668924,12.284825,0.601355,6.429895,19.952557,40.482712,40.482712,5.650534,0.884033,0.000000
09/08/2022,17:44:14:728,2812252,2641,90,16.784746,12.676758,0.287537,6.878709,19.785767,39.859385,39.859385,5.491724,0.973267,0.890625
09/08/2022,17:44:15:674,2813198,1926,87,16.885443,11.681833,0.614500,7.808685,19.482481,40.319871,40.319871,5.782527,0.905762,0.000000
09/08/2022,17:44:16:698,2814222,2312,88,16.979188,12.432139,0.319089,6.874921,19.702739,39.734403,39.734403,5.596310,0.920654,0.000000
09/08/2022,17:44:17:665,2815189,2358,89,17.057634,11.614421,0.463274,6.340351,19.179268,39.407849,39.407849,5.685380,0.855835,0.000000
09/08/2022,17:44:18:665,2816189,2403,87,17.151095,12.193810,0.478269,6.174563,19.829366,40.190672,40.190672,5.734843,0.873291,0.000000
09/08/2022,17:44:19:682,2817206,2553,92,17.224443,11.790144,0.436054,6.228222,19.201015,39.180054,39.180054,5.585327,0.911865,0.000000
09/08/2022,17:44:20:648,2818172,2383,92,17.293176,11.900085,0.312378,5.963472,19.046265,38.887917,38.887917,5.479961,0.978027,0.000000
09/08/2022,17:44:21:665,2819189,2338,92,17.342269,11.173160,0.531006,6.228638,18.761500,38.855953,38.855953,5.650364,0.908691,0.000000
09/08/2022,17:44:22:665,2820189,2365,94,17.367423,10.940002,0.267395,6.442882,17.986145,37.459982,37.459982,5.442331,0.914062,0.000000
09/08/2022,17:44:23:681,2821205,2460,89,17.411179,11.318734,0.370863,6.644111,18.605178,38.505798,38.505798,5.538269,0.884155,0.000000
09/08/2022,17:44:24:651,2822175,2385,92,17.435517,11.028583,0.279993,6.789264,18.065857,37.495110,37.495110,5.431949,0.879150,0.000000
