timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
171904711,1302235,2329,55,7.828297,4.090493,0.341696,3.248625,9.914639,26.009057,26.009057,4.348008,1.026123,0.0
171905692,1303216,2504,69,8.289788,13.622208,0.956197,6.787981,20.545078,40.131575,40.207359,4.732803,0.919067,1.09375
171906706,1304230,2475,76,8.654253,11.770317,0.742268,8.589681,18.523886,38.384456,38.305813,4.822275,0.832397,1.09375
171907704,1305228,1323,57,8.720128,4.80896,0.453613,4.852086,10.520935,25.982155,26.011861,4.15334,0.745605,0.0
171908704,1306228,2376,61,8.842458,6.199322,0.446618,6.363932,12.085706,28.762006,28.731764,4.29197,1.300537,0.0
171909699,1307223,1197,59,8.977838,6.159402,0.595837,5.192057,12.702756,31.258859,31.258859,4.728728,0.739624,0.0
171910694,1308218,1413,58,9.011167,4.317195,0.380708,6.337229,9.854782,24.691969,24.691969,4.047788,0.748779,0.0
171911704,1309228,2072,60,9.115038,5.73506,0.612783,6.998698,11.846986,28.222411,28.222411,4.33497,1.007935,0.960938
171912701,1310225,2350,65,9.308503,8.098272,0.73279,5.897522,14.412402,31.949394,31.949394,4.376765,1.118408,0.0
171913715,1311239,2718,65,9.52979,9.121337,0.660883,5.769857,15.449415,34.165377,34.165377,4.464443,1.310669,0.0
171914706,1312230,2613,65,9.735726,8.87252,0.655318,5.123647,15.154516,33.406937,33.406937,4.418006,0.963257,0.0
171915701,1313225,2349,67,10.015458,11.193635,0.493784,6.0512,17.7743,37.198125,37.198125,4.858854,0.844727,0.0
171916715,1314239,1677,59,9.970139,3.235423,0.066572,5.863444,8.68572,23.638149,23.638149,4.30442,0.765625,0.0
171917693,1315217,1540,54,9.865026,2.209179,0.064762,5.725232,7.043665,20.000209,20.000209,3.759537,0.755127,0.0
171918728,1316252,1517,55,9.813304,3.271649,0.170582,5.359203,8.359223,22.211118,22.211118,3.886799,1.133789,0.0
171919695,1317219,1697,54,9.700535,1.749475,0.061694,5.135091,6.739563,19.993053,19.993053,3.890387,0.780273,0.0
171920729,1318253,1393,52,9.616793,2.2056,0.078025,6.062112,7.177978,20.589803,20.589803,3.886916,0.94458,0.0
171921696,1319220,1772,56,9.625181,4.32829,0.17401,6.095378,9.820796,25.328941,25.328941,4.238788,0.834595,0.0
171922709,1320233,1734,55,9.543905,2.267725,0.134188,6.046549,7.174388,20.306845,20.306845,3.7722,0.775146,0.0
171923710,1321234,1397,51,9.417879,1.391198,0.071075,5.476888,6.028155,18.25861,18.25861,3.581473,0.750854,0.914062
171924714,1322238,1875,53,9.357177,1.985252,0.136803,5.912781,7.692782,23.580505,23.580505,4.492944,0.789062,0.0
171925710,1323234,1796,49,9.240043,1.350426,0.074921,4.91333,6.070313,18.501479,18.513006,3.651095,0.779785,0.0
171926709,1324233,1536,52,9.225473,3.439785,0.177574,6.506348,8.828655,23.596682,23.585027,4.163124,0.768555,0.0
171927722,1325246,1561,52,9.277194,4.902661,0.10799,5.635579,10.711732,27.137856,27.137856,4.579897,0.770752,0.914062
171928705,1326229,1298,51,9.17454,1.548629,0.074245,5.041504,6.424837,19.499015,19.499015,3.802737,0.74585,0.0
171929718,1327242,1297,49,9.060633,1.161749,0.059333,5.179269,5.902377,18.433114,18.433114,3.701329,0.776855,0.0
171930714,1328238,1298,48,8.943279,1.187222,0.058347,5.610875,5.770052,17.665765,17.665765,3.574443,0.741089,0.0
171931727,1329251,1896,49,8.90922,2.954425,0.140716,5.54984,7.975778,21.775074,21.775074,3.866519,0.793213,0.0
