Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,17:28:03:072,1840596,2406,67,12.785747,8.848989,0.181627,4.874674,14.337472,30.564808,30.564808,4.212700,0.814697,0.000000
09/08/2022,17:28:04:084,1841608,2037,60,12.563550,1.973176,0.041615,4.227702,6.396270,18.347491,18.347491,3.420266,0.828857,1.085938
09/08/2022,17:28:05:096,1842620,1811,56,12.351986,2.325834,0.041723,6.825765,6.607040,18.169968,18.169968,3.318900,0.782959,0.000000
09/08/2022,17:28:06:092,1843616,1616,55,12.121622,1.383504,0.034921,5.065918,5.815342,17.782122,17.811941,3.455000,0.916626,0.000000
09/08/2022,17:28:07:090,1844614,1703,55,11.954188,3.208475,0.035454,3.781256,7.312534,18.748211,18.718122,3.156871,0.859497,0.000000
09/08/2022,17:28:08:099,1845623,2408,56,11.868549,5.037791,0.036323,4.480279,9.568177,22.785723,22.762869,3.523510,1.102783,0.867188
09/08/2022,17:28:09:099,1846623,1318,55,11.674807,1.807929,0.108452,6.009928,6.320850,18.059638,18.077537,3.441114,1.168823,0.000000
09/08/2022,17:28:10:101,1847625,2253,74,11.791529,9.064279,0.396542,6.851196,14.770198,31.453023,31.453023,4.216431,0.999512,0.000000
09/08/2022,17:28:11:078,1848602,2426,72,11.976676,10.109799,0.728398,5.893283,16.908967,36.592858,36.626631,4.818616,1.171143,0.000000
09/08/2022,17:28:12:107,1849631,2655,67,12.005828,6.783613,0.716146,5.212402,12.842242,29.815892,29.781221,4.199344,0.796143,1.085938
09/08/2022,17:28:13:090,1850614,2566,68,12.083887,7.899057,0.710452,6.424967,14.091657,31.259194,31.259194,4.322593,1.104980,0.000000
09/08/2022,17:28:14:100,1851624,1397,59,11.952363,3.047659,0.314508,4.943848,8.353052,22.519678,22.519678,3.939440,0.773438,0.906250
09/08/2022,17:28:15:100,1852624,1306,58,11.776555,2.046888,0.100947,5.712891,6.939587,19.784534,19.784534,3.791257,0.920776,0.000000
09/08/2022,17:28:16:101,1853625,1320,58,11.644768,3.206079,0.102014,4.991804,8.091491,21.424072,21.402690,3.767273,0.749878,0.000000
09/08/2022,17:28:17:100,1854624,1309,60,11.545875,3.755333,0.100838,5.996704,8.710385,22.174744,22.196941,3.837783,0.881226,0.000000
09/08/2022,17:28:18:102,1855626,1225,58,11.433578,3.567641,0.094096,5.582682,8.317095,21.445374,21.445374,3.673229,1.063232,0.000000
09/08/2022,17:28:19:088,1856612,1270,54,11.248257,1.557139,0.093286,4.791260,6.236295,18.422445,18.422445,3.598333,0.740723,0.000000
09/08/2022,17:28:20:100,1857624,1039,54,11.129260,3.008260,0.090138,5.078997,7.864106,20.767862,20.783152,3.756791,1.023804,0.000000
09/08/2022,17:28:21:104,1858628,950,53,10.970987,1.354577,0.095100,6.229946,6.716252,21.226906,21.212009,4.210521,0.726807,0.000000
09/08/2022,17:28:22:085,1859609,1967,52,10.843393,2.416499,0.097903,5.187988,7.378472,20.665872,20.665872,3.844122,0.813232,0.000000
09/08/2022,17:28:23:105,1860629,1447,53,10.673085,1.302020,0.096355,5.244954,5.959963,17.879070,17.860863,3.579858,0.750854,0.000000
09/08/2022,17:28:24:094,1861618,813,53,10.596020,3.569190,0.100996,4.984538,8.565753,22.182270,22.204039,3.868911,0.727051,0.000000
09/08/2022,17:28:25:109,1862633,1850,53,10.440218,1.532020,0.099010,5.989583,6.156718,17.988091,17.988091,3.567564,0.785400,0.000000
09/08/2022,17:28:26:087,1863611,1316,52,10.329902,2.449707,0.098267,4.947306,7.393921,20.657905,20.657905,3.825311,0.753174,0.945312
09/08/2022,17:28:27:100,1864624,945,50,10.178960,1.316978,0.102676,5.179850,5.979861,17.955569,17.955569,3.585597,0.726318,0.000000
09/08/2022,17:28:28:096,1865620,1920,60,10.266961,6.251700,0.434218,6.201172,12.517467,29.919578,29.938317,4.629875,0.972900,0.000000
09/08/2022,17:28:29:115,1866639,1359,61,10.386740,7.506951,0.721596,5.944824,13.648419,31.175973,31.156915,4.256467,1.140015,0.000000
09/08/2022,17:28:30:106,1867630,2564,67,10.565454,8.971803,0.708142,5.875651,15.266700,33.431617,33.473107,4.405563,0.946411,0.000000
09/08/2022,17:28:31:102,1868626,2538,73,10.822731,11.040109,0.807465,6.311035,17.821453,37.594022,37.551403,4.737338,1.370483,0.000000
09/08/2022,17:28:32:114,1869638,2448,65,10.883903,6.249640,0.652927,6.066895,12.410337,29.025676,29.025676,4.341638,1.249023,0.000000
09/08/2022,17:28:33:092,1870616,2431,63,10.912782,5.825487,0.606430,5.574544,11.586201,27.527520,27.527520,4.050959,1.012573,0.937500
09/08/2022,17:28:34:116,1871640,2278,69,11.154807,11.414904,0.628523,6.264823,17.895964,36.500208,36.500208,4.664883,0.875244,1.093750
09/08/2022,17:28:35:103,1872627,1441,59,11.026126,2.125172,0.307412,5.097453,7.606529,21.484375,21.484375,4.087152,0.745483,0.000000
09/08/2022,17:28:36:103,1873627,1213,56,10.870732,1.405567,0.178584,5.907331,6.547402,19.643921,19.643921,3.933920,0.716309,0.000000
09/08/2022,17:28:37:110,1874634,1197,55,10.706253,1.358930,0.176915,5.671575,6.228433,18.536377,18.536377,3.691711,0.735718,0.000000
09/08/2022,17:28:38:110,1875634,1002,54,10.554203,1.392081,0.177886,5.419922,6.370314,18.941567,18.941567,3.790901,0.896973,0.914062
09/08/2022,17:28:39:107,1876631,1251,54,10.437467,2.229735,0.174856,5.321103,7.275527,20.488098,20.488098,3.845398,0.753174,0.914062
09/08/2022,17:28:40:109,1877633,1197,52,10.287741,1.310052,0.180187,6.617955,6.185289,18.444249,18.444249,3.712309,0.760376,0.914062
09/08/2022,17:28:41:108,1878632,798,55,10.241977,3.465276,0.173953,5.936686,9.008282,24.083059,24.083059,4.288237,0.749390,0.914062
09/08/2022,17:28:42:106,1879630,1306,53,10.112521,1.371711,0.168668,6.211926,6.582874,19.966316,19.966316,4.004700,0.765015,0.945312
09/08/2022,17:28:43:119,1880643,1296,54,9.996619,1.508911,0.169680,6.355794,6.754971,20.367315,20.367315,4.053481,0.886841,0.000000
09/08/2022,17:28:44:102,1881626,898,54,9.936230,3.150917,0.176629,5.504608,8.325831,22.178153,22.178153,3.953034,0.721191,0.000000
09/08/2022,17:28:45:129,1882653,1418,52,9.807279,1.290710,0.174133,5.069987,6.222553,18.709542,18.709542,3.753133,0.760498,0.000000
09/08/2022,17:28:46:115,1883639,1197,52,9.684638,1.443575,0.166958,5.143229,6.447373,19.169794,19.169794,3.817607,0.749634,0.914062
09/08/2022,17:28:47:109,1884633,914,53,9.614053,2.546128,0.168585,6.025042,7.656109,21.152458,21.152458,3.906436,0.734741,0.000000
