timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
115736564,4584187,1512,64,13.048816,5.2675,0.352415,5.558264,11.178179,13.019804,26.871576,4.43409,0.781738,0.0
115737513,4585136,2618,65,12.973271,5.120076,0.371598,5.570991,11.062665,12.945362,27.301517,4.473916,0.796143,1.078125
115738504,4586127,1716,70,12.982201,7.233371,0.516619,5.485919,13.23591,12.955251,30.753289,4.414855,0.924805,0.0
115739515,4587138,1891,81,13.180741,12.559267,0.451734,5.603546,18.614547,13.154539,36.609761,4.423355,0.909668,1.078125
115740512,4588135,2422,80,13.310335,10.724757,0.491116,5.55046,16.766333,13.28508,33.987406,4.414212,1.060425,0.0
115741508,4589131,1806,76,13.424751,10.354752,0.6025,5.572847,16.530099,13.387854,34.068831,4.471928,1.083862,0.0
115742499,4590122,2051,82,13.550653,10.960677,0.51583,5.484096,16.960604,13.514942,34.093185,4.337475,0.977295,0.0
115743513,4591136,2714,0,13.665999,10.805499,0.44312,5.557768,16.806387,13.631553,34.190219,4.432617,0.919434,1.078125
115744509,4592132,2194,75,13.712239,8.948753,0.466311,5.527775,14.942839,13.679041,31.419743,4.383445,1.018677,0.0
115745518,4593141,2057,82,13.871004,12.271011,0.432092,5.476908,18.180011,13.838986,36.170561,4.379885,1.033203,0.0
115746525,4594148,2396,77,13.967368,10.373801,0.466345,5.702315,16.542461,13.936504,33.87185,4.598627,1.041626,0.0
115747507,4595130,2329,81,14.04838,10.169331,0.452849,5.600006,16.222186,14.018625,32.88613,4.480538,0.967529,0.0
115748525,4596148,2170,83,14.15291,10.88682,0.439366,5.702685,17.028871,14.124199,34.381688,4.56129,0.967163,0.976562
115749497,4597120,1993,77,14.204689,9.437666,0.452128,5.687301,15.577095,14.177022,32.349472,4.557312,1.032715,0.0
115750519,4598142,1907,82,14.291296,10.613273,0.439051,5.647196,16.69952,14.264679,34.03363,4.511704,1.151611,0.0
115751509,4599132,1485,73,14.27664,7.14177,0.48004,6.267962,13.889772,14.251008,31.410531,5.080371,0.763428,1.078125
115752510,4600133,2468,83,14.408935,11.995566,0.449749,5.573003,18.018318,14.384209,36.660119,4.440893,1.131714,0.0
115753502,4601125,2045,82,14.481909,10.314393,0.578128,5.5556,16.448122,14.458068,33.304342,4.426177,1.030396,0.0
115754521,4602144,1565,72,14.453305,7.750849,0.578202,5.344672,13.673723,14.430308,29.300382,4.219855,1.071045,0.0
115755503,4603126,1888,78,14.532057,10.641261,0.485646,5.490349,16.617256,14.509975,34.150637,4.367937,1.017578,0.0
115756510,4604133,2023,85,14.628217,10.967309,0.474483,5.83209,17.273882,14.606811,34.643977,4.654645,0.981445,0.0
115757519,4605142,2154,77,14.66708,9.580519,0.471856,5.65645,15.708825,14.646444,32.41622,4.52643,0.992676,0.0
115758516,4606139,1731,70,14.552185,5.789871,0.461423,5.227428,11.478723,14.532293,26.170304,4.109116,0.740234,1.078125
115759514,4607137,2322,77,14.631128,10.740657,0.43747,5.591114,16.769241,14.611944,34.189911,4.482564,1.008423,0.0
115800503,4608126,2325,75,14.643327,8.786188,0.553169,5.63401,14.973367,14.624826,31.666054,4.527855,0.996216,0.0
115801512,4609135,1512,75,14.598078,7.605511,0.493218,5.263526,13.362256,14.58023,29.441039,4.215005,0.986084,1.054688
115802526,4610149,1522,72,14.530678,7.063625,0.447208,5.216903,12.727736,14.513408,28.005458,4.095223,1.197876,0.0
