Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,17:41:07:539,2625063,2327,83,14.861089,10.751691,0.747974,5.803133,17.327998,35.240592,35.240592,4.617273,0.963135,0.000000
09/08/2022,17:41:08:545,2626069,2224,81,14.879871,9.889884,0.037334,6.660970,15.195815,31.371085,31.371085,4.212596,1.046631,0.000000
09/08/2022,17:41:09:571,2627095,2359,80,14.932968,10.576678,0.134473,5.463323,16.371657,33.566868,33.566868,4.523639,0.980713,0.000000
09/08/2022,17:41:10:545,2628069,2196,80,14.992043,10.732528,0.132394,6.742350,16.465305,33.543615,33.543615,4.499129,0.945068,0.000000
09/08/2022,17:41:11:707,2629231,2403,81,15.139264,12.824384,0.036978,7.047170,19.214618,38.611880,38.611880,5.146512,0.898438,0.000000
09/08/2022,17:41:12:511,2630035,2022,83,15.300062,12.587575,0.030571,6.259102,18.996361,38.238000,38.238000,5.186036,0.964600,0.000000
09/08/2022,17:41:13:695,2631219,2323,85,15.407307,12.554426,0.035610,6.632480,19.039470,38.398165,38.398165,5.235841,0.962769,0.000000
09/08/2022,17:41:14:562,2632086,2366,79,15.492109,10.886486,0.029498,6.707258,17.362907,36.078536,36.078536,5.227991,1.005005,0.000000
09/08/2022,17:41:15:712,2633236,2422,83,15.591586,12.195197,0.035717,7.352454,18.655672,37.807020,37.807020,5.213120,0.950439,0.000000
09/08/2022,17:41:16:596,2634120,2134,77,15.655881,10.661597,0.024888,6.654647,17.128812,35.717349,35.717349,5.240737,0.896973,0.000000
09/08/2022,17:41:17:712,2635236,2653,83,15.771620,12.909850,0.035229,5.885181,19.392866,38.610219,38.610219,5.219127,0.905762,0.000000
09/08/2022,17:41:18:597,2636121,2344,83,15.905376,12.596547,0.027688,6.833590,19.067494,38.208884,38.208884,5.224089,0.982544,0.000000
09/08/2022,17:41:19:678,2637202,2693,85,15.984284,11.999370,0.019659,6.592483,18.460225,37.595658,37.595658,5.227260,0.912354,0.000000
09/08/2022,17:41:20:614,2638138,2429,83,16.084459,12.079402,0.025274,6.482600,18.532566,37.488120,37.488120,5.207885,0.878174,0.000000
09/08/2022,17:41:21:672,2639196,2268,86,16.149543,11.519801,0.031019,7.393973,17.979099,36.870386,36.870386,5.216695,0.942627,0.000000
09/08/2022,17:41:22:628,2640152,2148,82,16.216472,11.483496,0.028413,6.568470,17.909960,36.774316,36.774316,5.181359,0.859985,0.000000
09/08/2022,17:41:23:713,2641237,1978,79,16.232217,10.247547,0.029698,6.662627,16.658533,34.984126,34.984126,5.166613,0.901367,0.000000
09/08/2022,17:41:24:594,2642118,2212,78,16.271937,10.831626,0.029032,6.760403,17.244946,35.780734,35.780734,5.175154,0.911255,0.000000
09/08/2022,17:41:25:717,2643241,2611,82,16.360019,12.594367,0.030269,7.068882,19.066787,38.213198,38.213198,5.230024,0.888062,0.000000
09/08/2022,17:41:26:645,2644169,2000,83,16.434039,11.633544,0.023619,6.615649,18.080037,37.066672,37.066672,5.205819,0.930664,1.085938
09/08/2022,17:41:27:661,2645185,2326,81,16.480145,11.364394,0.032787,6.742115,17.826669,36.746712,36.844999,5.212270,0.899292,0.000000
09/08/2022,17:41:28:718,2646242,2521,86,16.542786,11.757195,0.026263,6.001856,18.237819,37.265781,37.175822,5.225910,0.905029,0.000000
09/08/2022,17:41:29:657,2647181,2424,81,16.563512,10.616009,0.026292,6.650276,17.077754,35.608730,35.608730,5.213948,0.884277,0.000000
09/08/2022,17:41:30:662,2648186,2079,81,16.621573,11.831222,0.029194,6.837261,18.275793,37.359230,37.359230,5.198634,0.895630,0.000000
09/08/2022,17:41:31:600,2649124,2389,83,16.679272,11.699069,0.033694,6.520219,18.164685,36.997993,36.997993,5.203579,0.912231,0.000000
09/08/2022,17:41:32:672,2650196,2585,85,16.755262,12.416659,0.032834,6.464358,18.973138,38.354245,38.313355,5.280396,0.890381,0.000000
09/08/2022,17:41:33:608,2651132,2512,85,16.793671,11.263307,0.027443,6.417870,17.748524,36.518382,36.552479,5.233121,0.966064,0.000000
09/08/2022,17:41:34:645,2652169,2437,86,16.867392,12.329300,0.092016,6.525480,19.068389,38.508689,38.508689,5.384001,0.883301,0.000000
09/08/2022,17:41:35:628,2653152,1965,78,16.874818,9.906360,0.518829,6.469697,17.023107,37.149260,37.149260,5.304564,0.911621,0.000000
09/08/2022,17:41:36:594,2654118,2303,78,16.865681,10.030153,0.115695,5.837027,16.661462,35.685511,35.685511,5.251194,0.886841,0.000000
09/08/2022,17:41:37:630,2655154,1766,78,16.859959,10.318800,0.028170,6.229729,16.727363,35.189421,35.189421,5.151254,0.831787,0.000000
09/08/2022,17:41:38:590,2656114,2538,80,16.893124,11.672256,0.084372,6.914326,17.730653,35.692794,35.692794,4.809322,0.880615,0.000000
09/08/2022,17:41:39:624,2657148,2107,85,17.017158,13.965607,0.031164,6.563539,20.563287,40.051664,40.051664,5.321507,0.938721,0.000000
09/08/2022,17:41:40:594,2658118,1652,78,16.992372,10.038928,0.037236,5.997615,16.385258,34.484391,34.484391,5.087746,0.952881,0.000000
09/08/2022,17:41:41:611,2659135,1421,75,16.890847,8.333120,0.027674,6.348705,14.054703,30.285129,30.285129,4.571546,0.923706,0.000000
09/08/2022,17:41:42:626,2660150,2368,75,16.805832,8.427373,0.031098,5.279541,14.551417,31.878494,31.878494,4.896042,0.939819,0.000000
09/08/2022,17:41:43:611,2661135,2334,82,16.819767,10.797302,0.027344,6.658040,17.155884,35.680576,35.680576,5.135252,0.886475,0.000000
09/08/2022,17:41:44:611,2662135,1297,89,17.029212,15.349461,0.311531,8.965774,22.743964,43.522771,43.522771,5.745608,0.754883,0.000000
09/08/2022,17:41:45:628,2663152,1497,93,17.312789,16.495417,0.410471,8.329264,24.965607,47.338171,47.338171,6.467957,0.729126,0.000000
09/08/2022,17:41:46:607,2664131,1597,90,17.478656,13.986371,0.233724,7.075236,21.893164,42.734812,42.734812,6.161073,0.750488,0.000000
09/08/2022,17:41:47:594,2665118,1996,89,17.602754,13.346671,0.282105,7.266090,21.103080,41.680403,41.727099,6.003465,0.804688,1.070312
09/08/2022,17:41:48:639,2666163,1542,83,17.563856,10.029100,0.226449,5.867004,16.512600,34.431249,34.384931,4.985821,0.864746,0.000000
09/08/2022,17:41:49:629,2667153,2133,83,17.546321,11.145114,0.198468,6.094360,17.099453,34.483053,34.511380,4.569017,0.838745,1.070312
09/08/2022,17:41:50:595,2668119,2045,81,17.516312,10.643990,0.247794,7.584127,16.662283,33.921353,33.857188,4.582408,0.908691,0.000000
09/08/2022,17:41:51:611,2669135,2019,83,17.514934,11.234195,0.207365,6.476508,17.453102,35.307102,35.343652,4.816418,0.917114,0.000000
09/08/2022,17:41:52:628,2670152,1897,81,17.496079,10.706935,0.210660,6.690979,16.963497,34.916134,34.916134,4.823281,0.897827,0.968750
09/08/2022,17:41:53:606,2671130,2416,82,17.479523,11.000610,0.267700,5.812701,17.029297,34.270700,34.237002,4.568334,0.939453,0.843750
09/08/2022,17:41:54:662,2672186,2359,88,17.480431,11.427279,0.174477,6.994629,17.442541,34.999925,35.035676,4.670907,0.919434,0.000000
09/08/2022,17:41:55:612,2673136,2094,85,17.410801,9.163255,0.386106,6.272260,15.598414,32.914453,32.914453,4.820335,0.946899,1.085938
09/08/2022,17:41:56:628,2674152,1824,82,17.415559,11.061021,0.328832,5.654329,17.563275,35.741571,35.741571,4.932412,0.880859,0.000000
09/08/2022,17:41:57:595,2675119,1817,83,17.429585,10.932747,0.227584,7.068634,17.753227,36.870941,36.870941,5.310840,0.867432,0.000000
09/08/2022,17:41:58:645,2676169,2216,83,17.447754,11.044858,0.281661,8.115881,17.939774,37.276179,37.367416,5.335811,0.984985,0.851562
09/08/2022,17:41:59:576,2677100,1765,81,17.437240,11.043523,0.271733,5.823472,17.182872,34.727144,34.610244,4.676456,0.911499,1.070312
09/08/2022,17:42:00:633,2678157,1978,87,17.491686,12.328835,0.282763,7.430465,18.972662,37.529483,37.569794,5.119567,0.916748,0.000000
09/08/2022,17:42:01:614,2679138,2396,85,17.475296,10.546697,0.220852,7.048543,17.027090,35.584535,35.584535,5.018829,0.936279,0.835938
09/08/2022,17:42:02:615,2680139,2022,85,17.469114,11.053631,0.383622,6.134033,17.268332,34.818128,34.818128,4.640350,0.940552,0.000000
09/08/2022,17:42:03:615,2681139,2001,85,17.487554,11.691458,0.339849,5.346859,17.955450,35.737302,35.737302,4.692329,0.962769,0.984375
09/08/2022,17:42:04:614,2682138,2507,88,17.485513,11.270104,0.346920,6.015354,17.430623,35.135437,35.135437,4.619770,0.908325,0.000000
09/08/2022,17:42:05:615,2683139,2505,83,17.471434,10.936865,0.357501,5.912272,17.100483,34.511012,34.511012,4.603865,0.892212,0.000000
09/08/2022,17:42:06:616,2684140,2301,87,17.461973,11.043649,0.329218,5.045972,17.225484,34.751199,34.751199,4.624554,0.959961,0.843750
09/08/2022,17:42:07:616,2685140,1998,86,17.451625,11.086294,0.312937,5.823472,17.161683,34.536133,34.536133,4.564405,0.915649,0.000000
09/08/2022,17:42:08:609,2686133,2521,79,17.434851,10.963044,0.241409,6.119578,16.960881,34.190674,34.190674,4.563369,0.887939,0.000000
09/08/2022,17:42:09:615,2687139,2485,85,17.444009,11.163111,0.191995,7.153320,17.650240,36.360497,36.360497,5.054389,0.941406,0.000000
09/08/2022,17:42:10:650,2688174,2293,83,17.449186,10.954363,0.129461,6.999769,17.563220,36.415237,36.415237,5.216391,0.900879,0.000000
09/08/2022,17:42:11:599,2689123,2434,86,17.454570,11.243337,0.208482,5.544082,17.601096,36.085826,36.085826,4.897612,0.894897,1.109375
09/08/2022,17:42:12:665,2690189,2553,82,17.429383,10.543398,0.238259,6.355286,16.694095,34.188104,34.188104,4.707224,0.888184,0.000000
09/08/2022,17:42:13:614,2691138,2465,83,17.443781,11.653118,0.227325,6.027222,17.806730,35.713640,35.713640,4.713748,0.896729,0.000000
09/08/2022,17:42:14:632,2692156,2453,83,17.453157,11.470030,0.250028,5.794949,17.746642,35.604849,35.604849,4.779804,0.871582,0.000000
09/08/2022,17:42:15:615,2693139,2385,82,17.429251,10.824015,0.235177,5.147360,16.834850,34.154806,34.154806,4.581058,0.895996,0.000000
09/08/2022,17:42:16:616,2694140,2639,85,17.429170,11.348495,0.242119,5.744485,17.414733,34.823726,34.823726,4.612656,0.916504,0.000000
09/08/2022,17:42:17:634,2695158,2231,83,17.427734,10.940676,0.249475,6.117877,17.396632,35.777821,35.777821,4.950067,0.898560,0.000000
09/08/2022,17:42:18:648,2696172,2333,83,17.419773,11.158946,0.246945,6.022135,17.223011,34.677861,34.677861,4.613201,0.881470,0.000000
09/08/2022,17:42:19:609,2697133,2520,82,17.412230,10.989929,0.282104,6.256104,17.190002,34.819745,34.819745,4.699767,0.890259,0.000000
09/08/2022,17:42:20:599,2698123,2363,88,17.436337,11.847429,0.355909,7.423401,18.061806,35.886256,35.886256,4.656830,0.829102,0.000000
09/08/2022,17:42:21:621,2699145,2184,86,17.474806,11.669872,0.633600,6.640625,18.471156,36.598860,36.598860,4.871592,0.904419,0.000000
09/08/2022,17:42:22:632,2700156,2419,88,17.468315,11.362419,0.174378,6.412760,17.245856,34.641785,34.641785,4.535414,0.900635,1.023438
09/08/2022,17:42:23:623,2701147,2319,86,17.449425,10.952134,0.232926,5.566406,16.936520,34.075590,34.075590,4.566276,0.892334,0.000000
09/08/2022,17:42:24:633,2702157,2268,82,17.413430,10.592380,0.225274,6.099447,16.386471,33.015524,33.015524,4.414035,0.931030,0.000000
09/08/2022,17:42:25:576,2703100,2429,83,17.411501,11.426408,0.223386,6.233724,17.351177,34.751567,34.717159,4.528821,0.916504,0.000000
09/08/2022,17:42:26:605,2704129,1994,81,17.391584,10.800529,0.226073,6.478446,16.782040,33.932379,33.968362,4.578543,0.904785,0.000000
09/08/2022,17:42:27:581,2705105,1628,85,17.352484,10.440503,0.188583,6.144206,16.285492,33.148259,33.148259,4.495782,0.956299,0.000000
09/08/2022,17:42:28:607,2706131,2410,83,17.352855,11.371085,0.228136,6.013997,17.342876,34.706656,34.706656,4.562190,0.938599,0.000000
09/08/2022,17:42:29:586,2707110,2301,79,17.318812,10.515011,0.217094,5.970001,16.396482,33.307901,33.307901,4.498178,0.928345,0.000000
09/08/2022,17:42:30:601,2708125,2585,78,17.287921,10.601040,0.206620,6.343842,16.406985,33.429230,33.429230,4.445654,0.908813,0.000000
09/08/2022,17:42:31:595,2709119,2440,79,17.287980,11.324740,0.209071,5.928548,17.282236,34.563277,34.563277,4.567655,0.913208,0.867188
09/08/2022,17:42:32:605,2710129,1991,81,17.266027,10.750729,0.185100,6.347656,16.603745,33.649836,33.649836,4.508795,0.905396,0.000000
09/08/2022,17:42:33:600,2711124,2308,88,17.319523,12.241226,0.480744,5.393219,18.686204,36.612219,36.612219,4.728504,0.894043,0.000000
09/08/2022,17:42:34:590,2712114,2403,81,17.324552,10.720887,0.622372,7.132975,17.438492,35.409715,35.409715,4.822636,0.959595,0.914062
09/08/2022,17:42:35:602,2713126,2231,85,17.253713,9.059710,0.252726,6.244659,15.273390,32.480516,32.480516,4.727204,0.934082,0.000000
09/08/2022,17:42:36:597,2714121,2425,81,17.239470,10.404443,0.420696,6.624349,16.810502,34.796787,34.796787,4.754229,0.903687,0.000000
09/08/2022,17:42:37:606,2715130,2598,83,17.252274,11.342128,0.297694,6.168365,17.565095,35.525101,35.489398,4.704246,0.883301,0.000000
09/08/2022,17:42:38:603,2716127,2549,83,17.274823,11.557995,0.394088,6.905111,17.829204,35.623139,35.658444,4.659965,0.876221,1.070312
09/08/2022,17:42:39:597,2717121,2467,85,17.284122,11.178020,0.376663,7.014974,17.478453,35.451008,35.451008,4.695295,0.884644,1.070312
09/08/2022,17:42:40:610,2718134,2305,85,17.286532,11.058336,0.360288,5.882263,17.310169,35.201996,35.201996,4.670815,0.907715,0.000000
09/08/2022,17:42:41:591,2719115,2354,85,17.288251,11.002061,0.358803,6.145477,17.289050,35.029184,35.029184,4.695369,0.901367,0.000000
09/08/2022,17:42:42:605,2720129,2356,83,17.282483,10.885424,0.337336,6.351725,17.071331,34.578251,34.578251,4.642529,0.921997,0.000000
09/08/2022,17:42:43:602,2721126,2435,83,17.282065,10.871345,0.317578,6.774902,17.216374,35.029966,35.029966,4.800469,0.909668,0.000000
09/08/2022,17:42:44:600,2722124,2409,83,17.281338,10.928339,0.308408,6.551107,17.215954,34.977369,35.037057,4.755845,0.895874,0.000000
09/08/2022,17:42:45:600,2723124,2450,86,17.290959,11.222894,0.362113,6.225586,17.517338,35.258444,35.198816,4.712489,0.914673,1.046875
09/08/2022,17:42:46:614,2724138,2548,83,17.284796,10.834547,0.371669,5.550385,17.123463,34.642029,34.679688,4.688110,0.903198,0.000000
09/08/2022,17:42:47:595,2725119,2410,85,17.296179,11.283309,0.345112,5.900065,17.574150,35.332366,35.295191,4.721639,0.910156,0.000000
09/08/2022,17:42:48:609,2726133,2441,87,17.318909,11.521744,0.334872,6.294759,17.892778,35.944859,35.944859,4.797513,0.903687,0.000000
09/08/2022,17:42:49:607,2727131,2437,85,17.335977,11.450965,0.306703,7.507579,17.733982,35.700083,35.700083,4.745528,0.906860,0.000000
09/08/2022,17:42:50:603,2728127,2400,88,17.338283,11.138170,0.346011,6.267548,17.352860,35.036014,35.036014,4.665092,0.918213,0.000000
09/08/2022,17:42:51:600,2729124,2413,83,17.331604,10.718918,0.344684,6.876628,17.088102,34.671703,34.671703,4.797755,0.882446,0.000000
09/08/2022,17:42:52:615,2730139,2376,83,17.332701,11.084780,0.319658,6.359863,17.332866,35.006815,35.065463,4.708094,0.886230,0.000000
09/08/2022,17:42:53:595,2731119,2528,86,17.330853,10.919978,0.362056,6.317139,17.232137,34.854204,34.796540,4.727789,0.892334,0.000000
09/08/2022,17:42:54:609,2732133,2484,83,17.325314,10.821818,0.395811,6.921387,17.130450,34.602018,34.602018,4.709049,0.903320,0.000000
09/08/2022,17:42:55:608,2733132,2302,85,17.327740,11.016204,0.352098,6.612142,17.322010,35.033698,35.033698,4.730044,0.926025,0.968750
09/08/2022,17:42:56:604,2734128,2436,85,17.323345,10.792244,0.380849,6.644694,17.124269,34.926956,34.926956,4.729492,0.913452,0.000000
09/08/2022,17:42:57:600,2735124,2452,86,17.323498,11.049479,0.342071,6.774902,17.250738,34.880305,34.880305,4.658628,0.912354,1.070312
09/08/2022,17:42:58:613,2736137,2302,86,17.349829,11.612670,0.306669,3.097534,18.067775,36.188087,36.188087,4.840939,0.937134,0.000000
09/08/2022,17:42:59:599,2737123,2449,85,17.335092,10.510719,0.343989,6.702423,16.797830,34.222750,34.222750,4.727423,0.854736,0.000000
09/08/2022,17:43:00:609,2738133,2330,85,17.331409,10.906498,0.329439,6.199428,17.166593,35.040487,35.040487,4.704845,0.916748,0.000000
09/08/2022,17:43:01:607,2739131,2496,86,17.337601,11.173294,0.345008,6.599935,17.448333,35.206105,35.206105,4.718984,0.906738,0.000000
