Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
16/08/2022,15:12:03:799,3018563,1605,43,4.727513,3.697439,0.158131,5.650869,9.506439,26.278348,15.009714,4.592575,0.986084,0.000000
16/08/2022,15:12:04:842,3019606,1397,45,4.800976,2.399441,0.007265,4.506743,6.913448,19.878975,15.173356,3.584664,1.100220,0.000000
16/08/2022,15:12:05:813,3020577,1271,41,4.838198,1.307339,0.003026,4.484135,5.794500,18.020906,15.280037,3.548534,1.015381,0.000000
16/08/2022,15:12:06:820,3021584,1934,42,4.906383,1.956040,0.085944,4.778742,6.820726,20.213020,15.449873,3.798299,1.226074,0.000000
16/08/2022,15:12:07:851,3022615,798,43,5.036209,3.407383,0.340926,4.760803,8.509111,22.419925,15.701043,3.756656,0.947998,0.000000
16/08/2022,15:12:08:815,3023579,1296,49,5.394069,9.113812,0.201790,5.458287,14.773889,32.178352,16.305996,4.397381,1.052979,0.000000
16/08/2022,15:12:09:837,3024601,1558,46,5.467363,2.439509,0.120299,4.960925,7.520733,21.463629,16.483750,3.935441,1.277954,0.000000
16/08/2022,15:12:10:818,3025582,1471,60,5.768206,8.134849,0.018311,5.572629,13.725789,31.615373,17.034974,4.522831,0.945190,0.000000
16/08/2022,15:12:11:818,3026582,2301,64,6.397413,16.432877,0.560628,6.715421,23.708926,45.410716,18.030151,5.457550,1.025757,0.000000
16/08/2022,15:12:12:832,3027596,1791,61,6.729982,9.755615,0.460327,5.493408,15.709351,34.054199,18.602439,4.402527,0.921875,0.000000
16/08/2022,15:12:13:908,3028672,2270,88,7.190421,13.556613,0.427969,5.472257,19.456839,38.591270,19.325606,4.377721,0.958130,0.000000
16/08/2022,15:12:14:787,3029551,1808,69,7.745368,14.960357,0.512877,6.144772,21.618006,41.984990,20.197183,4.957959,0.980103,0.000000
16/08/2022,15:12:15:877,3030641,2805,78,8.151085,13.983168,0.474378,6.226420,20.683966,41.326014,20.859723,5.032620,0.972778,0.000000
16/08/2022,15:12:16:789,3031553,1996,65,8.535502,11.316567,0.401288,6.299097,18.016952,37.408229,21.504524,5.115596,0.786011,1.093750
16/08/2022,15:12:17:838,3032602,2274,76,8.742761,8.212612,0.486003,6.207094,14.905710,33.783863,21.904041,5.028064,1.043457,0.937500
16/08/2022,15:12:18:814,3033578,2198,67,9.120708,12.743373,0.462331,5.625242,18.830946,37.249599,22.478951,4.501183,0.916870,0.000000
16/08/2022,15:12:19:834,3034598,2394,67,9.437895,12.091833,0.482221,5.636975,18.211029,36.342094,22.962676,4.507980,0.956055,0.000000
16/08/2022,15:12:20:832,3035596,1892,94,9.783545,12.299512,0.521225,6.114896,18.935633,38.255460,23.519770,4.909740,1.005859,0.000000
16/08/2022,15:12:21:823,3036587,1914,65,9.944971,8.102890,0.547545,5.657574,14.308009,31.446315,23.802295,4.519354,0.742310,1.093750
16/08/2022,15:12:22:823,3037587,1468,67,10.229240,11.542488,0.558564,5.883851,17.984903,36.750740,24.260577,4.711963,0.988647,0.000000
16/08/2022,15:12:23:843,3038607,2468,64,10.366090,8.166687,0.499878,5.394470,14.061035,30.500288,24.483201,4.274658,1.019531,0.000000
16/08/2022,15:12:24:812,3039576,2439,69,10.666126,12.453326,0.419527,5.729526,18.602379,37.333889,24.951333,4.594168,0.848145,1.023438
16/08/2022,15:12:25:829,3040593,2353,71,11.006229,13.787584,0.469259,6.236798,20.493640,40.693946,25.496140,5.015024,1.007690,0.000000
16/08/2022,15:12:26:850,3041614,2615,70,11.150362,8.389963,0.479639,6.104896,14.974498,33.042105,25.770220,4.893185,0.915039,0.000000
16/08/2022,15:12:27:803,3042567,1737,88,11.466352,13.825299,0.451911,5.530430,19.807640,38.840038,26.247269,4.418862,0.844604,0.000000
16/08/2022,15:12:28:844,3043608,2736,71,11.680420,11.552809,0.487577,5.715465,17.755851,35.352036,26.557156,4.541899,1.086060,0.000000
16/08/2022,15:12:29:819,3044583,2283,71,11.917303,11.763134,0.494262,5.794529,18.051924,36.151868,26.913874,4.629408,0.840820,1.023438
16/08/2022,15:12:30:840,3045604,2119,81,12.166803,12.464255,0.500864,6.117288,19.082407,38.366574,27.312673,4.927384,0.973145,0.937500
16/08/2022,15:12:31:832,3046596,2367,76,12.388877,11.886432,0.493303,5.877249,18.256984,36.930275,27.663372,4.687273,1.055054,0.000000
16/08/2022,15:12:32:817,3047581,2377,83,12.665027,13.746508,0.521014,5.915919,20.183440,39.109152,28.069289,4.722941,0.954712,1.085938
16/08/2022,15:12:33:833,3048597,1921,70,12.708004,7.889956,0.506003,5.490747,13.886706,30.624824,28.159097,4.367425,0.913818,0.000000
16/08/2022,15:12:34:817,3049581,1490,75,12.801978,9.241264,0.696883,5.362254,15.300401,32.364267,28.311535,4.239267,1.039062,0.000000
16/08/2022,15:12:35:859,3050623,2397,80,13.008464,12.358287,0.526575,5.786752,18.671615,36.909601,28.614002,4.635140,0.854248,1.085938
16/08/2022,15:12:36:813,3051577,2687,80,13.186682,11.588706,0.468640,5.744692,17.802038,35.577574,28.872898,4.579630,1.031860,0.000000
16/08/2022,15:12:37:844,3052608,2501,79,13.407206,13.474630,0.475358,5.709090,19.659078,38.397127,29.197402,4.549806,0.826660,0.000000
16/08/2022,15:12:38:813,3053577,1951,81,13.576506,11.649604,0.656646,5.698825,18.005075,35.658562,29.435311,4.536374,1.054565,0.000000
16/08/2022,15:12:39:845,3054609,3744,71,13.690096,10.637924,0.568571,5.648898,16.855393,34.059440,29.595670,4.487561,1.068481,0.859375
16/08/2022,15:12:40:825,3055589,2399,71,13.821980,10.968035,0.526584,5.777205,17.271824,34.905354,29.790990,4.621013,0.941528,0.000000
16/08/2022,15:12:41:825,3056589,2478,71,13.916301,10.229804,0.555794,5.731263,16.516861,33.739425,29.929185,4.576453,0.935425,0.000000
16/08/2022,15:12:42:825,3057589,2500,79,14.067497,11.978027,0.555054,5.616699,18.149780,35.841905,30.140565,4.462761,1.070312,0.000000
16/08/2022,15:12:43:835,3058599,2557,81,14.211716,11.850637,0.530963,5.719988,18.101588,35.954529,30.348207,4.569519,0.888306,0.000000
16/08/2022,15:12:44:836,3059600,2955,81,14.390221,12.904524,0.509130,5.746732,19.160386,37.393521,30.602341,4.578604,1.012085,0.000000
16/08/2022,15:12:45:837,3060601,2251,73,14.498386,10.916818,0.500781,5.998213,17.415812,35.461121,30.776042,4.801107,0.870239,1.085938
16/08/2022,15:12:46:838,3061602,3494,73,14.619778,11.469061,0.698154,5.726756,17.893971,35.683738,30.951493,4.567820,1.012329,0.000000
16/08/2022,15:12:47:838,3062602,2063,83,14.736590,11.664978,0.507629,5.717896,17.890503,35.628357,31.118523,4.561523,1.026001,0.000000
16/08/2022,15:12:48:838,3063602,2360,70,14.782374,9.844971,0.481812,5.691772,16.018555,33.058899,31.187823,4.527344,0.977173,0.000000
16/08/2022,15:12:49:823,3064587,2125,75,14.862563,10.704468,0.613892,5.709290,17.027649,34.574829,31.308787,4.546997,1.096558,0.000000
16/08/2022,15:12:50:845,3065609,1723,72,14.829468,7.910800,0.510133,5.501830,13.922763,30.584742,31.283290,4.358381,0.987183,0.000000
16/08/2022,15:12:51:830,3066594,2397,72,14.944301,11.519580,0.520053,5.935938,17.975570,36.202149,31.462829,4.752142,0.985474,0.000000
16/08/2022,15:12:52:845,3067609,1576,73,14.957328,9.438824,0.491937,5.383858,15.314619,32.230342,31.489829,4.260812,1.045654,0.937500
16/08/2022,15:12:53:829,3068593,2383,81,15.131948,13.498761,0.507784,5.772638,19.779183,38.443481,31.741650,4.590205,0.960327,0.000000
16/08/2022,15:12:54:830,3069594,2463,83,15.207268,11.094580,0.508977,5.669453,17.273011,34.676582,31.844897,4.535935,1.036743,0.000000
16/08/2022,15:12:55:838,3070602,3325,79,15.174274,8.406283,0.484626,5.394363,14.285272,30.972723,31.813686,4.273558,0.915283,0.929688
16/08/2022,15:12:56:824,3071588,2626,82,15.260442,11.329545,0.486582,5.756477,17.572604,35.272193,31.937945,4.597476,0.948853,0.000000
16/08/2022,15:12:57:840,3072604,2103,82,15.328030,11.092180,0.491686,5.595921,17.179787,34.418690,32.025302,4.450681,1.008057,0.000000
16/08/2022,15:12:58:825,3073589,2397,71,15.370032,10.258292,0.490324,5.736944,16.485560,33.741328,32.087570,4.583891,1.051880,0.000000
16/08/2022,15:12:59:841,3074605,2104,75,15.458485,11.553906,0.452007,5.878504,17.884416,36.330774,32.236991,4.681694,0.921875,0.000000
16/08/2022,15:13:00:826,3075590,2328,78,15.550756,11.460238,0.541018,6.000151,18.001406,36.265876,32.383182,4.819915,1.018555,0.000000
16/08/2022,15:13:01:842,3076606,2159,77,15.577349,9.804685,0.843226,5.658009,16.305920,34.194869,32.446915,4.507803,0.963867,0.000000
16/08/2022,15:13:02:826,3077590,2044,75,15.518291,7.213983,1.174987,5.560807,13.949777,31.094529,32.397842,4.434021,0.942627,0.000000
16/08/2022,15:13:03:844,3078608,3482,80,15.621712,11.214590,1.427999,5.818561,18.461150,36.553057,32.544017,4.640471,0.982788,0.000000
16/08/2022,15:13:04:829,3079593,2381,82,15.773257,12.630496,1.405369,5.758190,19.794055,38.683313,32.766786,4.584906,1.014771,0.000000
16/08/2022,15:13:05:844,3080608,2205,81,15.773986,8.702684,1.484425,5.606869,15.793978,33.556819,32.794578,4.477603,0.970337,0.000000
16/08/2022,15:13:06:831,3081595,3081,83,15.912447,12.321104,1.325215,5.947290,19.593608,38.075485,32.986199,4.734644,0.982056,0.000000
16/08/2022,15:13:07:847,3082611,2772,83,15.889049,8.835627,0.822398,5.590622,15.248647,32.514282,32.969581,4.445291,1.023560,0.000000
16/08/2022,15:13:08:832,3083596,2946,83,15.963665,11.540806,0.483300,5.919270,17.943376,36.631536,33.102589,4.731515,0.918945,1.078125
16/08/2022,15:13:09:859,3084623,1763,79,15.914081,8.767499,0.492867,5.293824,14.554189,30.644853,33.016129,4.174805,1.053101,0.000000
16/08/2022,15:13:10:833,3085597,1916,77,15.948796,10.577821,0.492386,5.791261,16.861468,34.301341,33.063223,4.632664,1.006226,0.000000
16/08/2022,15:13:11:843,3086607,2607,75,15.937670,9.359559,0.456949,5.812439,15.628948,32.740536,33.051998,4.646505,0.983398,0.000000
16/08/2022,15:13:12:843,3087607,2221,71,15.900101,8.685182,0.564726,5.646235,14.896144,31.555538,32.998018,4.497747,1.017456,0.000000
16/08/2022,15:13:13:861,3088625,2525,76,15.863919,8.671448,0.496399,5.719177,14.887024,31.598999,32.948053,4.565186,1.011963,0.000000
16/08/2022,15:13:14:840,3089604,2039,72,15.829125,8.552649,0.496487,5.858716,14.907852,32.099281,32.917164,4.682157,1.037109,0.000000
16/08/2022,15:13:15:840,3090604,2598,76,15.815155,8.798673,0.547132,6.083358,15.429163,32.827865,32.914045,4.882001,0.953369,0.000000
16/08/2022,15:13:16:840,3091604,2112,73,15.771182,8.598823,0.474013,5.512310,14.585146,30.794612,32.838200,4.375831,1.087158,0.000000
16/08/2022,15:13:17:844,3092608,2302,75,15.725036,8.421874,0.623793,5.432129,14.477796,31.496220,32.790368,4.324995,1.056396,0.000000
16/08/2022,15:13:18:845,3093609,2103,70,15.739448,9.628721,0.718379,5.779859,16.126959,33.318873,32.809318,4.610404,0.952637,0.000000
16/08/2022,15:13:19:853,3094617,1841,73,15.713507,8.588006,0.626112,5.801139,15.015257,31.983578,32.779739,4.629970,1.016968,0.000000
16/08/2022,15:13:20:839,3095603,2252,78,15.693084,8.974291,0.689527,5.481273,15.145091,32.029563,32.752786,4.343446,0.923584,0.000000
16/08/2022,15:13:21:861,3096625,3494,70,15.695624,9.080386,0.770886,5.913855,15.765127,33.122363,32.765814,4.725308,1.031982,0.000000
16/08/2022,15:13:22:831,3097595,2534,70,15.681924,8.736866,0.644034,5.939402,15.320302,32.622097,32.760568,4.751306,1.016113,0.000000
16/08/2022,15:13:23:847,3098611,1798,69,15.643674,8.168958,0.669814,5.739004,14.577775,31.471512,32.715866,4.563368,0.843384,1.078125
16/08/2022,15:13:24:832,3099596,1675,70,15.607829,8.341752,0.701243,5.612831,14.655827,31.617534,32.676051,4.459531,0.856201,1.078125
16/08/2022,15:13:25:848,3100612,2950,75,15.607676,9.419201,0.679264,5.505011,15.603476,32.827310,32.681372,4.372511,0.996948,0.867188
16/08/2022,15:13:26:833,3101597,1648,74,15.619977,9.413952,0.646156,5.886589,15.946696,33.244136,32.701772,4.706262,0.882324,0.000000
16/08/2022,15:13:27:848,3102612,1697,72,15.586973,8.358477,0.712015,5.613194,14.683686,31.270283,32.651312,4.465213,1.043701,1.078125
16/08/2022,15:13:28:833,3103597,1988,75,15.562059,8.798031,0.523554,5.577434,14.899019,32.067895,32.630184,4.424989,0.881348,1.078125
16/08/2022,15:13:29:849,3104613,1591,78,15.589488,9.975995,0.483076,5.882674,16.341745,33.726168,32.668740,4.710303,0.986694,0.000000
16/08/2022,15:13:30:834,3105598,1428,73,15.579250,8.819730,0.494234,5.993111,15.307076,32.722721,32.670696,4.813419,0.988281,0.000000
16/08/2022,15:13:31:850,3106614,1632,78,15.559480,8.690043,0.467151,5.860057,15.017251,31.980811,32.646427,4.680188,1.033936,0.000000
16/08/2022,15:13:32:835,3107599,1296,70,15.541326,8.779040,0.489542,5.791078,15.059660,32.027193,32.623936,4.623548,0.977295,0.000000
16/08/2022,15:13:33:850,3108614,1405,71,15.530773,8.778270,0.502299,5.960480,15.241049,32.499112,32.619549,4.778792,0.992432,0.000000
16/08/2022,15:13:34:835,3109599,1480,72,15.520456,8.789183,0.504938,5.952040,15.246161,32.524349,32.616095,4.765068,1.023438,0.000000
16/08/2022,15:13:35:850,3110614,2050,71,15.507279,8.697293,0.505445,5.943151,15.145890,32.569017,32.614440,4.760804,1.007324,0.000000
16/08/2022,15:13:36:835,3111599,1712,70,15.480469,8.482864,0.499346,5.785471,14.767682,31.704065,32.581439,4.612420,1.035522,0.000000
16/08/2022,15:13:37:851,3112615,1875,75,15.469488,9.028618,0.495593,5.644110,15.168321,32.145513,32.566104,4.489309,1.020264,0.000000
16/08/2022,15:13:38:876,3113640,1608,0,15.458804,8.907769,0.556585,5.710692,15.175046,31.993656,32.545332,4.558053,0.942627,0.000000
16/08/2022,15:13:39:830,3114594,2229,72,15.344260,6.348668,0.658299,5.325883,12.332849,28.263382,32.388429,4.194888,1.037231,0.000000
16/08/2022,15:13:40:861,3115625,2122,77,15.461601,12.438427,0.517230,5.836191,18.791847,37.650237,32.567519,4.654219,1.021606,0.976562
16/08/2022,15:13:41:846,3116610,1324,79,15.468842,9.229675,0.543225,5.885161,15.658061,32.741990,32.573949,4.714270,1.026978,0.000000
16/08/2022,15:13:42:848,3117612,2209,70,15.458397,9.008454,0.538710,5.624476,15.171640,31.774878,32.545868,4.486084,1.005737,0.000000
16/08/2022,15:13:43:848,3118612,1570,72,15.436484,8.655906,0.510636,5.679498,14.846040,31.547805,32.510151,4.516784,0.977905,1.078125
16/08/2022,15:13:44:849,3119613,1631,72,15.425874,8.938599,0.517944,5.682861,15.139404,32.074524,32.494593,4.527355,0.818970,1.031250
16/08/2022,15:13:45:849,3120613,3394,73,15.434419,9.273263,0.539083,5.852309,15.664655,32.819936,32.506247,4.685224,0.907715,0.000000
16/08/2022,15:13:46:849,3121613,2250,70,15.384848,8.032752,0.511009,5.501290,14.045051,30.081709,32.419830,4.360405,0.847778,0.000000
16/08/2022,15:13:47:849,3122613,1258,72,15.381296,9.254456,0.481018,5.549927,15.285400,32.532104,32.423840,4.416992,0.952759,0.000000
16/08/2022,15:13:48:850,3123614,1929,76,15.405102,9.484412,0.527244,6.035529,16.047185,33.871219,32.475583,4.835679,0.906860,0.000000
16/08/2022,15:13:49:851,3124615,2062,72,15.397932,8.914429,0.505249,5.784668,15.204346,32.214355,32.466254,4.619934,1.003052,0.000000
16/08/2022,15:13:50:851,3125615,2283,74,15.388801,8.821806,0.534926,5.785779,15.142511,32.211319,32.457140,4.623489,1.023315,0.000000
16/08/2022,15:13:51:852,3126616,1443,70,15.379704,8.412231,0.708923,6.012939,15.134094,32.568323,32.461115,4.814156,0.942871,0.000000
16/08/2022,15:13:52:852,3127616,1724,71,15.369099,8.620042,0.696142,5.766877,15.083061,32.059204,32.446761,4.607239,1.007324,0.000000
16/08/2022,15:13:53:852,3128616,1276,71,15.361489,8.785828,0.682068,5.688110,15.156006,31.930664,32.428329,4.537231,1.037231,0.000000
16/08/2022,15:13:54:853,3129617,1431,69,15.275402,6.968861,0.549255,5.435361,12.953477,28.573843,32.290531,4.308863,1.083496,0.000000
