Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:32:15:835,27108142,3294,94,9.512882,12.033544,0.009618,6.124385,18.167547,36.142292,4.923886,1.027954,0.000000
17/08/2022,17:32:16:764,27109071,3393,94,9.786109,11.060785,0.038993,5.664641,16.764419,33.314057,4.507461,1.022583,0.000000
17/08/2022,17:32:17:875,27110182,3417,82,10.081852,12.424948,0.101223,6.154455,18.680626,37.714955,4.940307,0.829834,0.000000
17/08/2022,17:32:18:750,27111057,2609,97,10.522069,14.460874,0.159990,6.575561,21.196426,41.947768,5.312480,1.027832,0.000000
17/08/2022,17:32:19:834,27112141,3277,78,10.692463,9.703962,0.016881,6.253836,15.974679,35.073994,5.066476,1.001099,0.000000
17/08/2022,17:32:20:737,27113044,3494,94,11.097582,14.651647,0.019932,6.485211,21.156790,41.022445,5.263269,1.047607,0.000000
17/08/2022,17:32:21:782,27114089,3473,84,11.263124,10.402067,0.024468,5.804153,16.230688,34.029634,4.647314,1.086426,0.000000
17/08/2022,17:32:22:746,27115053,3893,95,11.489881,11.242909,0.005373,6.090608,17.338891,36.468740,4.906665,0.979492,0.000000
17/08/2022,17:32:23:773,27116080,3293,0,11.708828,11.525198,0.027415,6.296751,17.849364,38.010939,5.052749,1.118286,0.937500
17/08/2022,17:32:24:759,27117066,3078,66,11.822133,7.072999,1.241465,6.486502,14.800966,33.709312,5.222432,0.864014,1.085938
17/08/2022,17:32:25:771,27118078,2175,61,11.832311,3.998267,2.223176,5.889429,12.110872,29.412322,4.666623,0.826172,0.984375
17/08/2022,17:32:26:757,27119064,1921,60,11.825598,3.837254,1.950230,5.859073,11.646557,28.482068,4.648020,0.788330,1.085938
17/08/2022,17:32:27:771,27120078,2274,60,11.825996,3.681113,2.051796,6.104011,11.836921,29.789056,4.887579,0.831665,0.000000
17/08/2022,17:32:28:771,27121078,2121,60,11.828706,3.620456,1.905633,6.374743,11.900832,30.351464,5.122138,0.941406,1.085938
17/08/2022,17:32:29:770,27122077,2295,59,11.839753,3.888245,2.298584,5.951172,12.138000,29.976920,4.734131,0.848511,0.984375
17/08/2022,17:32:30:772,27123079,2129,0,11.817537,3.473439,2.089200,5.653825,11.216464,27.728901,4.477989,1.046265,0.976562
17/08/2022,17:32:31:756,27124063,1813,57,11.760877,3.056500,1.616459,5.564412,10.237371,26.290270,4.422219,0.841553,1.085938
17/08/2022,17:32:32:767,27125074,1697,57,11.713033,3.255146,1.473590,5.670749,10.399485,27.207757,4.505499,0.791992,0.000000
17/08/2022,17:32:33:768,27126075,1960,0,11.646901,2.943889,1.232427,5.703343,9.879658,26.674595,4.534127,0.851196,1.085938
17/08/2022,17:32:34:765,27127072,1924,56,11.617125,3.069440,2.087695,5.656880,10.814015,27.168091,4.482883,0.879761,0.984375
17/08/2022,17:32:35:770,27128077,1960,57,11.597128,3.160727,2.392799,5.501980,11.055505,27.660179,4.345373,0.877197,1.085938
17/08/2022,17:32:36:771,27129078,1853,57,11.576057,3.114129,2.302270,5.593675,11.010074,27.635929,4.415119,0.804810,1.085938
17/08/2022,17:32:37:767,27130074,1861,57,11.568037,3.156738,2.256714,5.938049,11.351501,28.848938,4.711426,0.798950,0.984375
17/08/2022,17:32:38:768,27131075,2093,58,11.587789,3.678805,2.201975,6.241426,12.122206,30.722456,4.980787,0.858887,1.085938
17/08/2022,17:32:39:776,27132083,2011,57,11.611387,3.639000,2.458540,6.150344,12.247884,30.860192,4.898300,0.814819,1.085938
17/08/2022,17:32:40:759,27133066,1903,69,11.951772,6.876507,8.046165,6.153246,21.075918,42.204176,4.870339,0.802490,1.343750
17/08/2022,17:32:41:788,27134095,2186,75,12.387243,8.144837,9.571580,6.639404,24.355821,47.081948,5.323484,0.771240,1.398438
17/08/2022,17:32:42:772,27135079,2579,78,12.829017,7.556863,10.613658,6.226119,24.396641,46.053519,4.936144,0.769653,1.343750
17/08/2022,17:32:43:779,27136086,2396,78,13.252265,7.572085,11.042272,6.270540,24.884896,46.455515,4.975638,0.817993,1.335938
17/08/2022,17:32:44:778,27137085,2477,85,13.588416,9.594085,6.717742,6.277962,22.589789,43.828450,4.998101,0.773682,1.179688
17/08/2022,17:32:45:780,27138087,2489,83,13.908972,8.344221,8.028903,6.199864,22.572988,43.480737,4.916721,0.826416,1.179688
17/08/2022,17:32:46:777,27139084,2702,87,14.212904,8.505715,7.708478,6.204874,22.419067,43.182617,4.898971,0.775757,1.187500
