Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,11:33:29:945,3137568,599,47,5.983440,2.332250,0.114395,4.268686,6.715331,6.625915,18.532111,3.373015,1.079834,0.000000
18/08/2022,11:33:30:945,3138568,599,48,5.992693,1.905593,0.002703,4.330145,6.238442,6.622459,18.097947,3.385946,1.033081,0.000000
18/08/2022,11:33:31:937,3139560,1279,53,6.070377,3.175652,0.082473,4.898883,8.157008,6.677538,22.215335,3.965153,0.978027,0.000000
18/08/2022,11:33:32:989,3140612,1144,74,6.322279,8.070238,0.082473,5.092912,13.245623,6.908125,30.003717,4.126283,1.018433,0.000000
18/08/2022,11:33:33:918,3141541,2383,69,6.768246,12.709005,0.011139,5.471991,18.192135,7.332081,36.195708,4.460100,1.272583,0.000000
18/08/2022,11:33:34:991,3142614,2038,63,7.148788,12.287033,0.004069,5.934298,18.225400,7.693506,35.768638,4.739455,1.104858,0.000000
18/08/2022,11:33:35:924,3143547,1816,72,7.401545,8.540428,0.001422,5.202664,13.744514,7.925389,30.577430,4.187925,1.061035,0.000000
18/08/2022,11:33:36:953,3144576,2295,81,7.959723,17.782295,0.149284,6.221268,24.152848,8.466111,44.426908,5.078297,0.901489,0.000000
18/08/2022,11:33:37:924,3145547,2495,79,8.382443,13.389773,0.217864,5.854689,19.462326,8.870222,37.371666,4.671888,0.925537,0.000000
18/08/2022,11:33:38:958,3146581,1991,78,8.702466,12.075029,0.190146,5.345511,17.610685,9.173329,34.899752,4.258159,1.021118,0.000000
18/08/2022,11:33:39:911,3147534,3104,80,9.009390,11.257799,0.215925,5.540032,17.013756,9.462865,34.416177,4.478462,0.978027,0.000000
18/08/2022,11:33:40:986,3148609,2875,71,9.264257,10.362719,0.213655,5.921243,16.497617,9.702298,34.149656,4.814318,0.981689,0.000000
18/08/2022,11:33:41:927,3149550,2291,76,9.596498,11.528150,0.155114,6.234727,17.917991,10.017722,38.189442,5.092660,0.946777,0.000000
18/08/2022,11:33:42:962,3150585,1501,61,9.584531,2.837844,0.350612,6.052707,9.241163,9.904277,24.689594,4.788768,0.723999,0.000000
18/08/2022,11:33:43:929,3151552,1876,58,9.487647,1.626955,0.377356,4.959185,6.963497,9.795678,19.936495,3.885314,0.723633,0.000000
18/08/2022,11:33:44:942,3152565,1502,77,9.764176,11.917967,0.187907,5.397125,17.503000,10.061581,36.589222,4.334441,0.959473,0.867188
18/08/2022,11:33:45:956,3153579,2000,69,10.006608,10.328270,0.224841,5.918661,16.471772,10.293263,34.450365,4.793612,1.020386,0.000000
18/08/2022,11:33:46:944,3154567,1985,70,10.231909,10.193052,0.253721,5.787314,16.234086,10.508406,34.080633,4.611137,1.058594,0.000000
18/08/2022,11:33:47:955,3155578,1497,75,10.453957,10.783783,0.271912,5.462717,16.518411,10.720473,34.264582,4.344840,1.098877,0.000000
18/08/2022,11:33:48:934,3156557,2068,75,10.691899,11.477869,0.272817,5.293155,17.043841,10.948792,34.330704,4.210580,1.077759,0.000000
18/08/2022,11:33:49:952,3157575,3061,65,10.753767,7.020603,0.337940,5.104611,12.463154,11.001741,26.631902,3.983495,1.080933,0.929688
