timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
163526803,8021567,1744,39,4.377294,1.262138,0.051395,3.561618,4.875151,14.2578,14.258193,2.744031,0.9729,0.0
163527754,8022518,940,38,4.377392,0.893779,0.014616,3.471521,4.379916,13.679248,14.236627,2.679701,0.985229,0.0
163528821,8023585,1320,37,4.360178,0.439466,0.014616,3.420728,3.87481,13.060441,14.196342,2.667389,0.857422,0.0
163529779,8024543,599,36,4.346752,0.271203,0.000115,3.7342,4.005518,14.324491,14.201194,2.945177,1.026245,0.0
163530808,8025572,499,36,4.327364,0.377922,0.000446,3.402312,3.780679,12.754631,14.151597,2.63207,0.975464,1.007812
163531777,8026541,599,37,4.313686,0.408603,0.000772,3.545442,3.954817,13.353625,14.122329,2.755981,1.160522,0.0
163532815,8027579,3885,37,4.308537,0.421709,0.002832,3.740511,4.165052,14.431605,14.133043,2.942587,1.030884,0.0
163533789,8028553,499,37,4.27886,0.385027,0.000412,3.122554,3.507993,11.408463,14.031942,2.374614,1.111816,0.0
163534814,8029578,1249,37,4.253868,0.362263,0.003071,3.195071,3.560405,11.65301,13.949274,2.423027,1.08252,0.0
163535795,8030559,699,36,4.231663,0.342107,0.002088,3.301924,3.64612,12.415409,13.893178,2.544641,1.009277,1.0625
163536806,8031570,599,36,4.216573,0.339796,0.000746,3.460855,3.801396,13.402748,13.875978,2.70152,0.829956,0.0
163537789,8032553,599,36,4.190953,0.300467,0.000906,3.205644,3.507016,11.953593,13.806566,2.465434,0.845337,0.0
163538806,8033570,699,36,4.173831,0.339858,0.002673,3.360228,3.702758,12.701404,13.767807,2.611894,0.912598,0.0
163539803,8034567,599,36,4.153604,0.294553,0.002461,3.319904,3.616918,12.390857,13.717794,2.553694,1.145752,0.0
163540783,8035547,599,36,4.137513,0.347374,0.000734,3.354059,3.702168,12.648894,13.679695,2.584637,0.837646,0.0
163541803,8036567,499,36,4.113147,0.36814,0.002489,3.071418,3.442047,11.045932,13.58742,2.321202,0.987549,0.0
163542816,8037580,639,35,4.099316,0.301822,0.001138,3.430128,3.733087,13.097941,13.569606,2.672429,1.09436,0.96875
163543798,8038562,599,36,4.085052,0.3444,0.001386,3.359283,3.705069,12.641086,13.536013,2.594446,1.08313,0.96875
163544820,8039584,636,36,4.066897,0.334729,0.001058,3.231068,3.566855,12.121731,13.486463,2.486514,1.144165,0.0
163545805,8040569,599,35,4.038989,0.340437,0.001193,2.961428,3.303058,10.650903,13.382864,2.223279,1.187622,1.007812
163546813,8041577,699,35,4.039083,0.336902,0.002169,3.702572,4.041643,14.611035,13.426025,2.921198,0.878784,0.0
163547811,8042575,599,36,4.039827,0.344231,0.002169,3.713346,4.059746,14.476776,13.463852,2.929809,1.130737,0.0
163548790,8043554,699,36,4.016528,0.347191,0.002691,3.036285,3.386167,11.143747,13.381157,2.303252,0.778076,0.0
163549824,8044588,532,35,3.997116,0.321618,0.000249,3.14001,3.461877,11.537138,13.316551,2.390211,0.876099,0.0
163550805,8045569,696,35,3.983023,0.303049,0.001064,3.311024,3.615137,12.394864,13.282547,2.545928,1.24231,0.0
163551833,8046597,599,36,3.974306,0.369197,0.002489,3.362533,3.734219,12.726234,13.263056,2.604416,1.063965,0.960938
163552803,8047567,611,36,3.961735,0.331894,0.00095,3.299045,3.631889,12.534472,13.236307,2.554274,0.988525,0.0
163553821,8048585,699,36,3.9527,0.355451,0.002014,3.343468,3.700933,12.557008,13.212774,2.589464,0.792603,0.0
163554818,8049582,499,36,3.946621,0.348764,0.002458,3.434277,3.785499,12.927642,13.202407,2.661924,1.127441,0.0
163555829,8050593,599,35,3.934857,0.329296,0.003,3.283961,3.616256,12.455825,13.175824,2.527235,0.866211,0.0
163556815,8051579,3731,36,3.916304,0.354812,0.003317,3.063398,3.421527,10.952158,13.095533,2.306658,0.813843,1.109375
163557839,8052603,599,35,3.904996,0.25615,0.001548,3.337496,3.595194,12.579364,13.077338,2.587965,0.83252,0.0
163558809,8053573,1185,37,3.902592,0.407915,0.000358,3.430916,3.839189,12.96579,13.073267,2.646967,0.86853,0.0
163559828,8054592,599,35,3.889535,0.318704,0.000881,3.206108,3.525693,12.012548,13.036483,2.457058,0.905518,0.0
163600827,8055591,599,35,3.883765,0.728948,0.001078,3.000793,3.730819,11.192457,12.969439,2.261119,1.000732,0.0
163601822,8056586,599,36,3.878196,0.419242,0.002444,3.306158,3.727844,12.533041,12.953869,2.555786,1.006226,0.0
163602830,8057594,599,36,3.885975,0.368603,0.001104,3.727377,4.097085,14.632627,13.013585,2.949685,0.914551,0.0
163603827,8058591,699,35,3.870514,0.336148,0.000424,3.119521,3.456093,11.443,12.957156,2.377216,1.115112,0.0
163604839,8059603,699,35,3.855309,0.390576,0.000857,3.052064,3.443497,11.21628,12.895106,2.311263,1.041138,0.0
163605823,8060587,699,36,3.846679,0.349987,0.002654,3.263873,3.616514,12.330911,12.874715,2.517399,1.027954,0.0
163606831,8061595,799,36,3.83876,0.342268,0.002605,3.276484,3.621357,12.337041,12.855819,2.517514,0.833618,0.0
