timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
100027693,0,699,39,3.553041,0.723047,0.008923,3.457238,4.189208,12.981133,2.653834,0.764404,0.0
100028596,903,1814,42,3.667504,2.315907,0.044119,4.193938,6.553964,18.144243,3.283943,0.842529,0.0
100029678,1985,913,40,3.715715,1.269934,0.012341,3.868623,5.150898,15.173421,2.997027,0.753296,0.0
100030633,2940,1201,37,3.787189,1.52974,0.016011,4.031613,5.577364,16.452447,3.140985,0.789062,0.0
100031662,3969,699,40,3.782825,0.491793,0.002554,3.165018,3.659364,11.523642,2.393601,0.783569,0.0
100032649,4956,898,41,3.84826,1.263232,0.033691,4.268201,5.565124,16.74641,3.332496,0.894653,0.0
100033654,5961,1016,41,3.897879,1.38787,0.012294,3.852871,5.253035,15.532674,2.995418,0.785278,0.0
100034663,6970,654,40,3.910489,0.446456,0.004255,3.798831,4.249542,14.48173,2.982941,0.792969,0.0
100035647,7954,699,41,4.045051,2.29641,0.110577,5.237651,7.644638,23.558119,4.280869,0.733154,0.0
100036681,8988,638,44,4.213679,3.32561,0.13584,5.381949,8.843399,25.207209,4.378528,0.753906,0.0
100037624,9931,699,41,4.256194,1.623015,0.001004,3.742052,5.366071,15.330744,2.892736,0.837769,1.109375
100038688,10995,2194,40,4.24456,0.763618,0.001098,3.146766,3.911482,11.75471,2.381923,0.770874,0.0
100039647,11954,631,42,4.260614,1.371712,0.001098,3.294628,4.667438,13.380416,2.519192,0.798096,0.0
100040659,12966,599,39,4.229132,0.256679,0.001782,3.081989,3.34045,11.49468,2.350618,0.763062,0.0
100041655,13962,599,39,4.186787,0.215613,0.002171,2.840909,3.058694,10.004157,2.118516,0.833618,0.0
100042666,14973,599,39,4.145688,0.278519,0.001655,2.751239,3.031413,9.697856,2.033176,0.759033,0.0
100043698,16005,698,39,4.107273,0.241062,0.001992,2.838708,3.081762,10.059149,2.12254,0.799683,0.0
100044653,16960,715,39,4.108968,0.961245,0.00148,3.190567,4.153291,12.438929,2.426488,0.758545,0.0
100045678,17985,798,38,4.082838,0.262886,0.001278,3.078709,3.342873,11.539096,2.360858,0.792969,0.0
100046656,18963,599,38,4.055306,0.29768,0.002082,3.03171,3.331473,11.029797,2.290988,0.798706,0.0
100047664,19971,2076,38,4.02448,0.301431,0.000562,2.870774,3.172767,10.195555,2.150287,0.736816,0.0
100048682,20989,798,38,3.99067,0.21135,6.1e-05,2.872956,3.084366,10.321366,2.151974,0.773682,0.0
100049660,21967,799,39,3.980246,0.436839,0.002458,3.264661,3.703959,11.895986,2.489551,0.757935,0.0
100050666,22973,699,39,3.979507,0.481361,0.002307,3.47545,3.959118,12.817632,2.679556,0.794922,0.0
100051679,23986,1001,39,3.978635,0.489678,0.00079,3.464732,3.9552,12.771151,2.659944,0.819214,0.0
100052701,25008,699,38,3.956225,0.339786,0.002047,3.01799,3.359823,10.988015,2.280692,1.056519,0.0
100053642,25949,599,39,3.970568,1.162296,0.002031,3.184877,4.349203,12.637741,2.422176,0.794067,0.0
100054702,27009,599,38,3.934681,0.19997,0.000324,2.702411,2.902705,9.475643,1.989577,0.763794,0.0
100055666,27973,763,38,3.921455,0.248463,0.002132,3.334398,3.584994,12.787441,2.591487,0.78772,0.0
100056667,28974,599,38,3.950276,0.188487,0.000443,4.569659,4.758589,19.34232,3.745874,0.767578,0.0
100057679,29986,625,38,3.982758,0.262597,0.000914,4.595339,4.85885,19.441191,3.766253,0.768188,0.0
100058686,30993,699,39,3.950638,0.235576,0.000965,2.858417,3.094958,10.013927,2.139785,0.79895,0.0
100059672,31979,599,38,3.928842,0.370999,0.001818,2.971751,3.344569,10.881757,2.233087,0.778809,0.0
100100689,32996,599,39,3.900896,0.275277,0.000495,2.859491,3.135263,10.157427,2.142483,0.804565,0.0
100101673,33980,599,38,3.87672,0.336143,0.005461,2.893679,3.235283,10.340116,2.1605,0.819702,0.0
100102680,34987,699,38,3.850363,0.281643,0.001428,2.842885,3.125956,10.3134,2.125438,0.754639,0.0
100103701,36008,599,37,3.823216,0.238086,0.000848,2.857329,3.096263,10.050981,2.135625,0.807983,0.0
100104684,36991,799,38,3.805913,0.240072,0.001975,3.106211,3.348257,11.533733,2.361342,0.76355,0.0
100105673,37980,499,38,3.820338,0.82258,0.002417,3.390952,4.215949,13.409728,2.628168,0.759888,0.0
100106707,39014,699,38,3.81324,0.257917,0.000618,3.360455,3.618989,12.886071,2.614989,0.762573,0.0
100107669,39976,599,38,3.814442,0.804023,0.000767,3.040956,3.845746,11.724535,2.299345,0.793701,0.0
100108726,41033,762,38,3.791772,0.319895,0.001713,2.832996,3.154604,9.981512,2.109619,0.804932,0.0
100109672,41979,1379,39,3.816294,1.326459,0.001504,3.114644,4.442607,12.70491,2.352397,0.928833,0.0
100110695,43002,698,38,3.823525,0.701389,0.001288,3.327189,4.029866,12.899516,2.572564,0.778076,0.0
100111680,43987,699,38,3.795721,0.221767,0.001014,2.839716,3.062497,10.10729,2.12209,0.790161,0.0
100112721,45028,799,38,3.767439,0.266222,0.001179,2.72357,2.990971,9.560894,2.007523,0.774292,0.0
100113678,45985,799,38,3.767728,0.775574,0.001524,2.99811,3.775209,11.479588,2.256602,0.769531,0.0
100114696,47003,599,38,3.746787,0.311547,0.000828,2.843295,3.15567,10.114297,2.125452,0.7948,0.0
100115727,48034,599,38,3.72368,0.262547,0.000828,2.847859,3.111234,10.233201,2.127126,0.804443,0.0
100116684,48991,1121,45,3.779024,1.950639,0.000888,3.275178,5.226705,13.973854,2.497705,0.962036,0.0
100117703,50010,699,39,3.840536,2.15479,0.001148,3.424693,5.580631,14.81415,2.640792,0.789673,0.0
100118690,50997,699,38,3.814058,0.258276,0.00066,2.854037,3.112973,10.145552,2.135092,0.794678,0.0
100119697,52004,630,37,3.7988,0.345062,0.002409,3.034173,3.381644,11.137678,2.30451,0.764648,0.0
100120716,53023,599,38,3.773801,0.266385,0.001818,2.835498,3.103701,10.131049,2.117138,0.759521,0.0
100121693,54000,840,39,3.775864,0.792678,0.002635,3.035166,3.83048,11.639668,2.296073,0.769531,0.0
100122702,55009,699,37,3.751929,0.227273,0.001,2.861655,3.089928,10.242486,2.14322,0.748169,0.0
100123731,56038,1761,37,3.731862,0.307358,0.000849,2.885745,3.193951,10.369255,2.161834,0.754639,0.0
100124704,57011,499,39,3.762638,0.81806,0.001183,3.74763,4.566873,14.120415,2.912021,0.82959,0.0
100125741,58048,1722,41,3.82661,1.615574,0.000945,3.994622,5.61114,16.580028,3.129754,0.903442,0.0
100126704,59011,617,39,3.813167,0.301831,5.9e-05,3.162795,3.464684,11.77524,2.43008,0.777832,0.0
100127750,60057,1455,39,3.816124,0.890395,0.00189,3.006344,3.898628,11.377939,2.262332,0.751465,0.0
100128702,61009,699,39,3.815437,0.627136,0.002113,3.16837,3.797619,12.021938,2.405431,0.778809,0.0
100129762,62069,499,39,3.804128,0.409313,0.00237,3.071484,3.483167,11.071636,2.316902,0.761597,0.0
100130693,63000,699,38,3.813189,0.647065,0.002421,3.394223,4.043709,13.063078,2.619272,0.799072,0.0
100131745,64052,699,38,3.78577,0.271938,0.000852,2.715769,2.988559,9.498604,2.005169,0.797607,0.0
100132708,65015,825,39,3.789887,0.761953,0.000986,3.132403,3.895343,11.932663,2.383968,0.759033,0.0
100133731,66038,699,39,3.765305,0.216507,0.000986,2.857652,3.075145,10.172589,2.134394,0.76416,0.0
100134740,67047,599,38,3.745731,0.274628,0.000986,2.953939,3.229553,10.837443,2.233934,0.799927,0.0
100135722,68029,599,38,3.760762,0.843906,0.001028,3.317917,4.162852,13.103444,2.553747,0.824097,0.0
100136730,69037,699,37,3.756831,0.245261,0.000498,3.402788,3.648546,13.063326,2.64467,0.789795,0.0
100137754,70061,599,38,3.735235,0.287392,0.00121,2.868955,3.157556,10.294919,2.14361,0.787964,0.0
100138731,71038,859,39,3.741469,0.802245,0.002331,3.101614,3.90619,11.971235,2.355418,0.753906,0.0
100139724,72031,699,38,3.723147,0.275966,0.00081,2.941209,3.217985,10.596979,2.214455,0.790771,0.0
100140756,73063,699,39,3.711502,0.260306,0.00081,3.133681,3.394796,11.61418,2.390021,0.77771,0.0
100141721,74028,499,38,3.719147,0.814373,0.00081,3.103534,3.918717,11.965436,2.359711,0.779419,0.0
100142746,75053,635,37,3.700822,0.356271,0.001076,2.829524,3.186871,10.128045,2.107866,0.768921,0.0
100143708,76015,599,39,3.705179,0.84562,0.000774,2.973454,3.819848,11.405574,2.226622,1.178955,0.0
100144753,77060,599,37,3.702239,0.577867,0.002348,3.039386,3.6196,11.33685,2.311151,0.773926,0.0
100145727,78034,599,37,3.686045,0.287595,0.000993,2.979742,3.26833,10.733251,2.251759,0.778687,0.0
100146727,79034,3583,37,3.662212,0.232935,0.002128,2.766551,3.001615,9.694741,2.047059,0.818237,0.0
100147738,80045,799,36,3.646228,0.324012,0.000183,2.889568,3.213764,10.387695,2.164701,0.79248,0.0
100148733,81040,599,36,3.625579,0.259218,0.000543,2.815156,3.074917,10.054078,2.099344,0.779541,0.0
100149746,82053,798,38,3.626129,0.399765,0.000736,3.240568,3.641069,11.62784,2.466986,0.779663,0.0
100150743,83050,799,38,3.638046,0.463131,0.00187,3.490825,3.955826,12.664523,2.686391,0.787598,0.0
100151745,84052,798,38,3.647465,0.433912,0.00159,3.467075,3.902577,12.711842,2.664937,0.764526,0.0
100152736,85043,799,37,3.637552,0.387857,0.000854,2.981746,3.370456,10.829111,2.243316,0.804321,0.0
100153759,86066,661,37,3.617637,0.243402,0.002523,2.829521,3.075446,10.086137,2.118264,0.828003,0.0
100154745,87052,599,37,3.594685,0.257863,0.001551,2.729996,2.98941,9.628162,2.020425,0.793701,0.0
100155731,88038,599,37,3.583585,0.294095,0.000929,2.984471,3.279494,10.901485,2.260467,0.766357,0.0
100156753,89060,618,37,3.567005,0.25454,0.000867,2.857324,3.112731,10.224473,2.139886,0.763184,0.0
100157765,90072,674,38,3.549111,0.266178,0.001135,2.809469,3.076781,10.06209,2.09214,0.757812,0.0
