timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
124415985,7383608,1167,40,4.302866,1.761931,0.155918,4.437155,6.355005,5.128188,18.267126,3.47361,0.87793,0.0
124416881,7384504,1179,39,4.317775,1.195827,0.001871,3.481591,4.679289,5.110393,13.749586,2.666229,0.734619,0.0
124417956,7385579,973,38,4.299492,0.545865,0.001827,3.202549,3.750241,5.066625,12.340682,2.487319,0.841797,0.0
124418908,7386531,1563,38,4.268806,0.435411,0.001941,3.058381,3.495733,5.006651,11.307572,2.317235,0.733521,0.0
124419956,7387579,599,39,4.254367,0.470605,0.000704,3.373265,3.844574,4.967057,12.870981,2.563156,0.749268,0.0
124420926,7388549,699,38,4.272744,0.48368,0.000524,4.261148,4.745352,4.958767,18.117657,3.510046,0.736694,0.0
124421948,7389571,599,38,4.249259,0.539196,0.002451,3.053197,3.594845,4.968833,11.30327,2.289385,0.737793,0.0
124422935,7390558,599,37,4.221968,0.448408,0.001674,3.051459,3.501541,4.915276,11.200876,2.288669,0.731934,0.0
124423942,7391565,699,38,4.234341,0.533733,0.00068,4.038581,4.572994,4.903211,16.938524,3.30468,0.738403,0.0
124424939,7392562,699,38,4.264979,0.494403,0.00103,4.590809,5.086243,4.909787,19.562828,3.761632,0.731323,0.0
124425933,7393556,798,38,4.243694,0.468997,0.001041,3.197152,3.667191,4.865542,11.870296,2.405741,0.734009,0.0
124426943,7394566,699,39,4.216227,0.428106,0.00086,3.041012,3.469978,4.815999,11.234027,2.299523,0.734741,0.0
124427928,7395551,699,38,4.190188,0.441145,0.001027,3.052181,3.494353,4.864692,11.358945,2.311419,0.731934,0.0
124428974,7396597,599,38,4.167158,0.470577,0.000743,3.064877,3.536197,4.81791,11.309708,2.304623,0.734253,0.0
124429911,7397534,699,38,4.16701,0.525019,0.000743,3.637432,4.163194,4.793498,14.473286,2.850555,0.734375,0.0
124430957,7398580,599,38,4.144446,0.432972,0.000781,3.059696,3.493449,4.749946,11.459187,2.321042,0.739624,0.0
124431937,7399560,699,38,4.126324,0.473913,0.002395,3.182118,3.658426,4.779962,12.199256,2.443801,0.734741,0.0
124432957,7400580,699,38,4.108661,0.525151,0.000996,3.096039,3.622187,4.739399,11.568246,2.347334,0.734741,0.0
124433938,7401561,699,38,4.081886,0.451062,0.000718,2.921865,3.373645,4.760187,10.750864,2.196547,0.737061,0.0
124434949,7402572,599,37,4.06837,0.513479,0.00168,3.180956,3.696115,4.722945,12.102195,2.425665,0.737793,0.0
124435942,7403565,699,38,4.048236,0.430084,0.002173,3.078502,3.510759,4.684603,11.4894,2.346322,0.733765,0.0
124436953,7404576,653,37,4.026095,0.493194,0.000921,2.930431,3.424546,4.639916,10.822031,2.202306,0.731323,0.0
124437941,7405564,799,38,4.008632,0.504658,0.001088,3.036227,3.541973,4.600312,11.30557,2.282751,0.739502,0.0
124438950,7406573,699,37,3.993286,0.518213,0.001088,3.054867,3.574167,4.564067,11.496456,2.314275,0.733643,0.0
124439950,7407573,599,38,3.978397,0.438327,0.000908,3.140465,3.5797,4.582151,11.789049,2.406166,0.738647,0.0
124440947,7408570,698,37,3.954969,0.393954,0.000916,2.927544,3.322414,4.621227,10.588745,2.17926,0.734131,0.0
124441953,7409576,698,38,3.943697,0.555996,0.000796,3.081602,3.638394,4.713126,11.580901,2.341047,0.739746,0.0
124442970,7410593,699,38,3.928817,0.455276,0.002973,3.071283,3.529533,4.670601,11.529146,2.332029,0.734497,0.0
124443954,7411577,699,36,3.913306,0.460074,0.002221,3.039477,3.501772,4.628189,11.32358,2.295294,0.731812,0.0
124444964,7412587,599,39,3.902719,0.543925,0.002726,3.0657,3.612352,4.592454,11.543026,2.335587,0.744141,0.0
124445945,7413568,699,37,3.889584,0.469125,0.002719,3.066745,3.538589,4.554439,11.406806,2.32411,0.734009,0.0
124446989,7414612,799,37,3.875961,0.444685,0.001246,3.054436,3.500366,4.649342,11.296544,2.311497,0.739746,0.0
124447940,7415563,699,38,3.862217,0.423621,0.000585,3.08277,3.506976,4.606789,11.505449,2.333966,0.737427,0.0
124448973,7416596,699,37,3.848225,0.502529,0.002503,2.945668,3.450701,4.567482,10.908349,2.20669,0.73938,0.0
124449947,7417570,699,37,3.840045,0.468369,0.001477,3.156659,3.626506,4.5328,11.805167,2.411923,0.731812,0.0
124450961,7418584,698,38,3.831477,0.442536,0.001477,3.149729,3.593742,4.725641,11.927888,2.403142,0.733887,0.0
124451966,7419589,599,37,3.817253,0.531319,0.000903,2.906474,3.438695,4.698178,10.748539,2.189228,0.737915,0.0
124452949,7420572,599,38,3.805476,0.456975,0.000607,3.031868,3.48945,4.654793,11.121028,2.275299,0.738647,0.0
124453973,7421596,599,37,3.797361,0.449288,0.000932,3.123879,3.574099,4.697083,11.62164,2.368015,0.734375,0.0
124454967,7422590,599,38,3.793357,0.432258,0.002086,3.25354,3.687884,4.744054,12.439836,2.507632,0.733276,0.0
124455978,7423601,599,38,3.778776,0.467036,0.000798,2.914792,3.382626,4.712145,10.673326,2.176334,0.734009,0.0
124456976,7424599,599,38,3.77085,0.479467,0.002717,3.077072,3.559256,4.670559,11.583008,2.346069,0.733398,0.0
124457971,7425594,699,37,3.766586,0.516597,0.002569,3.132047,3.651212,4.634226,11.732524,2.375474,0.733643,0.0
124458967,7426590,635,38,3.758945,0.502145,0.002208,3.047219,3.551571,4.595715,11.406772,2.314434,0.737793,0.0
124459980,7427603,599,37,3.752724,0.430552,0.001959,3.151711,3.584222,4.559698,11.670364,2.391106,0.738525,0.0
124500972,7428595,699,38,3.752953,0.531042,0.00199,3.226033,3.759065,4.540493,12.301561,2.476378,0.738037,0.0
124502004,7429627,599,37,3.763472,0.599215,0.004307,3.446355,4.049877,4.523128,12.988921,2.620143,0.733398,0.0
124502962,7430585,699,38,3.770147,0.577113,0.002188,3.365273,3.944574,4.516132,12.930207,2.602626,0.732666,0.0
