Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
16/08/2022,16:39:03:082,8237846,1307,40,4.268985,1.555664,0.040113,4.339226,5.935003,17.939867,13.900887,3.424639,0.999146,0.000000
16/08/2022,16:39:04:051,8238815,898,39,4.299919,1.071512,0.022781,3.984928,5.079221,16.151421,13.986809,3.136659,0.774048,0.000000
16/08/2022,16:39:05:079,8239843,1201,36,4.280723,0.565734,0.000940,3.181411,3.748085,11.813937,13.911224,2.430691,0.957275,0.000000
16/08/2022,16:39:06:049,8240813,657,37,4.278459,0.367941,0.001014,3.849809,4.218764,14.703333,13.940193,3.026903,1.093262,0.960938
16/08/2022,16:39:07:068,8241832,499,35,4.271283,0.359799,0.001697,3.709819,4.071315,14.225722,13.950084,2.910622,0.861938,0.000000
16/08/2022,16:39:08:063,8242827,499,35,4.280294,0.335244,0.002156,4.181238,4.518638,16.869220,14.056424,3.352206,1.156982,0.000000
16/08/2022,16:39:09:076,8243840,499,36,4.261380,0.384264,0.000553,3.362706,3.747522,12.604251,14.004872,2.587854,0.766724,0.000000
16/08/2022,16:39:10:071,8244835,499,36,4.260539,0.774978,0.001746,3.461428,4.238151,13.481908,13.985933,2.674471,0.812012,1.007812
16/08/2022,16:39:11:086,8245850,499,36,4.246864,0.421357,0.002331,3.452013,3.875702,13.062996,13.953136,2.672555,1.054565,0.000000
16/08/2022,16:39:12:068,8246832,599,36,4.227625,0.377587,0.001144,3.336890,3.715620,12.659317,13.906281,2.587818,1.052979,0.000000
16/08/2022,16:39:13:076,8247840,661,36,4.207615,0.324506,0.001989,3.330580,3.657075,12.555839,13.858919,2.572800,0.959229,0.000000
16/08/2022,16:39:14:087,8248851,599,36,4.188367,0.334545,0.000181,3.339288,3.674014,12.585872,13.812999,2.580155,1.098877,1.109375
16/08/2022,16:39:15:068,8249832,599,36,4.171298,0.381092,0.001210,3.332374,3.714676,12.628525,13.770358,2.565896,0.791504,1.007812
16/08/2022,16:39:16:075,8250839,500,36,4.152069,0.357447,0.000559,3.265008,3.623015,12.044374,13.709825,2.503126,0.838379,0.000000
16/08/2022,16:39:17:089,8251853,509,35,4.124453,0.319056,0.000364,3.064789,3.384208,11.050394,13.614180,2.324543,0.994263,0.000000
16/08/2022,16:39:18:083,8252847,499,36,4.120846,0.330120,0.000482,3.694163,4.024765,14.103335,13.631895,2.901429,1.079468,0.960938
16/08/2022,16:39:19:079,8253843,499,36,4.108718,0.382450,0.003370,3.394069,3.779890,12.865475,13.604660,2.637810,1.016113,0.000000
16/08/2022,16:39:20:092,8254856,599,35,4.080495,0.316597,0.002333,2.994775,3.313705,10.729674,13.502495,2.249406,1.003174,0.000000
16/08/2022,16:39:21:088,8255852,499,35,4.066063,0.321805,0.000904,3.358862,3.681571,12.357119,13.461057,2.587179,1.161865,0.000000
16/08/2022,16:39:22:086,8256850,499,36,4.054584,0.365414,0.001409,3.376543,3.743367,12.762476,13.436207,2.599534,0.989624,1.007812
16/08/2022,16:39:23:094,8257858,599,36,4.054792,0.368168,0.000734,3.691526,4.060428,14.564874,13.476396,2.920189,1.062256,0.000000
16/08/2022,16:39:24:092,8258856,499,36,4.030492,0.385266,0.000544,2.994655,3.380464,10.743819,13.377828,2.247313,0.914917,0.000000
16/08/2022,16:39:25:088,8259852,499,36,4.017720,0.362419,0.001896,3.307824,3.672139,12.531961,13.347679,2.559436,1.027832,0.000000
16/08/2022,16:39:26:100,8260864,599,36,4.002827,0.339125,0.000490,3.259437,3.599052,12.338548,13.311819,2.521028,1.069824,0.000000
16/08/2022,16:39:27:081,8261845,582,36,3.989995,0.335301,0.000490,3.311648,3.647439,12.568960,13.284970,2.562029,1.043213,0.000000
16/08/2022,16:39:28:088,8262852,629,36,3.977276,0.347608,0.002053,3.277295,3.626957,12.430059,13.255048,2.532274,1.024170,0.000000
16/08/2022,16:39:29:099,8263863,599,36,3.965897,0.335178,0.003031,3.322688,3.660897,12.566339,13.230254,2.569774,0.968506,0.000000
16/08/2022,16:39:30:099,8264863,499,36,3.958283,0.366030,0.000724,3.388476,3.755230,12.778964,13.213943,2.621496,0.885620,0.000000
16/08/2022,16:39:31:077,8265841,599,35,3.937672,0.274383,0.001161,3.105034,3.380578,11.426112,13.150220,2.368702,0.997070,0.000000
16/08/2022,16:39:32:110,8266874,599,36,3.913058,0.290572,0.002496,2.939922,3.232991,10.495426,13.057492,2.199765,1.028320,0.000000
16/08/2022,16:39:33:082,8267846,599,35,3.913454,0.329637,0.002496,3.591665,3.923798,13.989872,13.091890,2.816885,1.056519,0.000000
16/08/2022,16:39:34:114,8268878,599,35,3.901424,0.268065,0.000377,3.298473,3.566915,12.339201,13.065734,2.539552,1.043091,0.000000
16/08/2022,16:39:35:084,8269848,1697,35,3.881495,0.352582,0.001541,3.005537,3.359659,10.910346,12.986523,2.271409,0.917969,0.000000
16/08/2022,16:39:36:109,8270873,599,36,3.863609,0.282782,0.002572,3.081429,3.366782,11.306371,12.928138,2.343148,0.867188,0.000000
16/08/2022,16:39:37:095,8271859,599,35,3.856155,0.351131,0.002572,3.306082,3.659785,12.410740,12.909198,2.549350,0.980103,0.000000
16/08/2022,16:39:38:091,8272855,599,36,3.860003,0.284934,0.002847,3.677647,3.965428,14.471157,12.964145,2.907650,0.932983,0.000000
16/08/2022,16:39:39:096,8273860,941,35,3.838502,0.294145,0.002390,2.959041,3.255576,10.522804,12.877303,2.215711,1.069458,0.000000
16/08/2022,16:39:40:108,8274872,1070,36,3.827068,0.273321,0.003283,3.243009,3.519613,12.183322,12.852419,2.503172,0.822021,0.000000
16/08/2022,16:39:41:105,8275869,798,36,3.816825,0.287522,0.000603,3.255831,3.543955,12.311345,12.832824,2.513457,1.173218,0.000000
16/08/2022,16:39:42:115,8276879,599,35,3.809768,0.327988,0.001468,3.289355,3.618810,12.421327,12.818157,2.550572,1.141113,0.000000
16/08/2022,16:39:43:096,8277860,699,35,3.801861,0.282734,0.001391,3.306242,3.590367,12.380570,12.802404,2.551983,1.214478,0.953125
16/08/2022,16:39:44:108,8278872,599,36,3.794264,0.315431,0.002548,3.267245,3.585225,12.364866,12.787044,2.526806,0.853638,0.000000
16/08/2022,16:39:45:101,8279865,598,35,3.784505,0.255743,0.002055,3.265925,3.523723,12.295683,12.769319,2.519664,0.897949,0.000000
16/08/2022,16:39:46:107,8280871,2265,35,3.775089,0.319421,0.000430,3.199433,3.519285,11.944205,12.740057,2.444234,0.868408,0.000000
16/08/2022,16:39:47:121,8281885,599,35,3.755216,0.314762,0.001577,2.905601,3.221940,10.462615,12.658232,2.180719,1.077148,0.000000
16/08/2022,16:39:48:118,8282882,821,35,3.765837,0.334518,0.001577,3.712710,4.048806,14.668722,12.731041,2.943786,0.769775,1.007812
16/08/2022,16:39:49:114,8283878,873,35,3.762896,0.330520,0.003245,3.349465,3.683230,12.634583,12.727606,2.592739,0.994507,0.000000
16/08/2022,16:39:50:125,8284889,1005,35,3.746612,0.278799,0.001288,3.024583,3.304670,11.001725,12.666276,2.285414,1.125244,0.000000
16/08/2022,16:39:51:121,8285885,955,35,3.736343,0.329240,0.003016,3.130223,3.462479,11.438362,12.621895,2.384412,0.825317,0.000000
16/08/2022,16:39:52:118,8286882,765,37,3.731178,0.290101,0.000490,3.300556,3.591147,12.502892,12.617662,2.558942,1.284302,0.960938
16/08/2022,16:39:53:130,8287894,798,36,3.735319,0.271750,0.000735,3.574995,3.847480,13.998683,12.666787,2.819199,1.044678,0.000000
16/08/2022,16:39:54:124,8288888,701,36,3.735413,0.374785,0.002578,3.360531,3.737894,12.754489,12.669976,2.607364,1.111450,0.000000
16/08/2022,16:39:55:138,8289902,798,36,3.729565,0.304003,0.001543,3.264301,3.569847,12.122384,12.650614,2.506202,1.153198,0.898438
16/08/2022,16:39:56:134,8290898,799,36,3.725795,0.293788,0.002651,3.328916,3.625356,12.570832,12.647728,2.573358,1.201660,0.960938
16/08/2022,16:39:57:129,8291893,798,35,3.735017,0.290285,0.001164,3.693607,3.985056,14.597697,12.717091,2.933364,1.103394,0.960938
16/08/2022,16:39:58:140,8292904,799,36,3.733320,0.317321,0.002392,3.367546,3.687260,12.755305,12.718449,2.600404,0.858521,0.000000
16/08/2022,16:39:59:137,8293901,766,36,3.731270,0.313990,0.002717,3.359831,3.676538,12.628119,12.715188,2.587565,1.000610,0.000000
16/08/2022,16:40:00:136,8294900,800,36,3.730950,0.320465,0.002018,3.399804,3.722287,12.837095,12.719528,2.638102,1.041626,1.007812
16/08/2022,16:40:01:130,8295894,798,36,3.727696,0.350983,0.002569,3.286197,3.639748,12.192659,12.700749,2.524947,1.051636,0.000000
16/08/2022,16:40:02:140,8296904,799,35,3.725991,0.324702,0.001535,3.353434,3.679671,12.667831,12.699579,2.590774,0.986206,0.000000
16/08/2022,16:40:03:138,8297902,699,35,3.734050,0.271911,0.002294,3.674968,3.949174,14.385099,12.760439,2.903305,1.149780,1.109375
16/08/2022,16:40:04:143,8298907,945,36,3.730417,0.342115,0.002691,3.287336,3.632142,12.504134,12.751303,2.534488,0.863770,1.109375
16/08/2022,16:40:05:130,8299894,799,35,3.721631,0.370406,0.000790,3.114191,3.485387,11.504397,12.706593,2.365599,1.090454,0.000000
16/08/2022,16:40:06:142,8300906,799,35,3.711056,0.350009,0.002350,3.068952,3.421311,11.250154,12.655305,2.325402,1.044312,1.007812
16/08/2022,16:40:07:139,8301903,699,35,3.703666,0.277038,0.000783,3.229172,3.506993,12.184437,12.638270,2.488537,1.124634,1.109375
16/08/2022,16:40:08:153,8302917,798,36,3.705804,0.278212,0.001716,3.483845,3.763773,13.501258,12.668999,2.717719,1.010864,1.007812
16/08/2022,16:40:09:130,8303894,798,35,3.689641,0.306741,0.002227,2.950514,3.259482,10.629026,12.595122,2.214059,0.877319,0.000000
16/08/2022,16:40:10:141,8304905,766,36,3.681208,0.293256,0.002933,3.151766,3.447955,11.627041,12.561343,2.404985,1.056274,1.007812
16/08/2022,16:40:11:154,8305918,801,35,3.674905,0.269763,0.000967,3.235924,3.506654,12.235313,12.549583,2.498936,1.036865,0.890625
16/08/2022,16:40:12:154,8306918,599,36,3.674487,0.278029,0.000662,3.384682,3.663373,12.710541,12.555412,2.607795,1.178101,0.960938
16/08/2022,16:40:13:146,8307910,799,36,3.673605,0.330164,0.002383,3.317221,3.649768,12.555969,12.555432,2.556817,0.857178,1.007812
16/08/2022,16:40:14:139,8308903,699,35,3.672010,0.322096,0.001846,3.304635,3.628577,12.500148,12.553473,2.551786,0.917603,0.000000
16/08/2022,16:40:15:159,8309923,699,35,3.669536,0.323388,0.002523,3.276271,3.602182,12.472030,12.550588,2.533236,1.157471,0.890625
16/08/2022,16:40:16:138,8310902,629,35,3.664042,0.290365,0.001732,3.226920,3.519017,12.158836,12.536289,2.496344,1.112915,0.000000
16/08/2022,16:40:17:159,8311923,799,34,3.663571,0.710040,0.000935,2.939600,3.650576,10.998186,12.482565,2.198264,0.864990,0.000000
16/08/2022,16:40:18:154,8312918,700,36,3.675023,0.342934,0.001376,3.633626,3.977936,14.385448,12.551884,2.870208,1.076172,0.000000
16/08/2022,16:40:19:150,8313914,699,35,3.670651,0.338328,0.000858,3.212925,3.552111,12.281303,12.542259,2.471465,1.003540,0.000000
16/08/2022,16:40:20:162,8314926,798,35,3.659815,0.333025,0.000613,3.032067,3.365705,11.123719,12.491800,2.294431,1.151123,0.960938
16/08/2022,16:40:21:161,8315925,798,35,3.657868,0.476701,0.001086,3.128172,3.605959,11.658680,12.461689,2.381758,1.086182,0.890625
16/08/2022,16:40:22:157,8316921,699,35,3.658732,0.377808,0.001770,3.302510,3.682088,12.512390,12.463497,2.549363,0.898804,0.000000
16/08/2022,16:40:23:149,8317913,699,35,3.662549,0.279351,0.000736,3.485954,3.766041,13.432759,12.497976,2.727463,0.823730,0.000000
16/08/2022,16:40:24:162,8318926,798,36,3.648369,0.283149,0.002707,2.976448,3.262304,10.664663,12.433024,2.240765,0.817139,0.000000
16/08/2022,16:40:25:172,8319936,699,35,3.640648,0.255106,0.000060,3.179793,3.434960,11.739778,12.407943,2.432308,1.027222,0.000000
16/08/2022,16:40:26:152,8320916,699,35,3.634774,0.291713,0.002475,3.183607,3.477795,12.001022,12.393265,2.452405,1.083740,0.960938
16/08/2022,16:40:27:159,8321923,700,35,3.633268,0.286784,0.003491,3.301457,3.591732,12.410938,12.393884,2.540869,0.864746,0.000000
16/08/2022,16:40:28:170,8322934,699,36,3.630833,0.284104,0.000303,3.281245,3.565652,12.333102,12.391698,2.530961,1.042847,0.000000
16/08/2022,16:40:29:152,8323916,599,35,3.630344,0.301795,0.002173,3.313301,3.617270,12.402513,12.392088,2.551270,1.123169,0.000000
16/08/2022,16:40:30:159,8324923,799,36,3.633063,0.363287,0.000747,3.343821,3.707855,12.702522,12.402975,2.601266,1.068481,0.000000
16/08/2022,16:40:31:173,8325937,779,35,3.631476,0.319116,0.002485,3.267351,3.588952,12.201213,12.395719,2.508866,1.146118,0.000000
16/08/2022,16:40:32:173,8326937,699,35,3.620066,0.352561,0.000902,2.963242,3.316705,10.614640,12.331219,2.227061,1.145264,0.000000
16/08/2022,16:40:33:152,8327916,699,36,3.635161,0.315562,0.002627,3.724977,4.043167,14.653442,12.414155,2.952026,0.783203,0.000000
16/08/2022,16:40:34:170,8328934,798,35,3.635593,0.304677,0.000312,3.342532,3.647521,12.627974,12.421624,2.591095,0.987793,0.000000
16/08/2022,16:40:35:166,8329930,792,35,3.628913,0.313570,0.000180,3.138094,3.451844,11.510787,12.388476,2.398058,1.065430,0.000000
16/08/2022,16:40:36:179,8330943,799,35,3.620781,0.320802,0.002880,3.076638,3.400320,11.179126,12.345501,2.331408,1.220581,0.000000
16/08/2022,16:40:37:160,8331924,798,36,3.620766,0.315298,0.002049,3.303008,3.620355,12.518768,12.351775,2.557572,0.974243,0.000000
16/08/2022,16:40:38:167,8332931,711,34,3.626493,0.327240,0.002859,3.453956,3.784055,13.231750,12.382606,2.696610,0.806885,0.000000
16/08/2022,16:40:39:180,8333944,781,35,3.617848,0.320829,0.000425,3.064620,3.385874,11.060576,12.335060,2.315756,1.158081,0.890625
16/08/2022,16:40:40:161,8334925,599,34,3.612876,0.284289,0.002588,3.193692,3.480569,11.844913,12.317310,2.451218,0.954712,0.000000
16/08/2022,16:40:41:183,8335947,798,35,3.613826,0.313708,0.001246,3.325046,3.640000,12.510837,12.324083,2.570452,1.026733,0.000000
16/08/2022,16:40:42:163,8336927,699,35,3.614997,0.299388,0.001134,3.345359,3.645881,12.630578,12.335281,2.588774,1.046631,0.000000
16/08/2022,16:40:43:171,8337935,798,35,3.615163,0.283586,0.002115,3.334057,3.619758,12.610673,12.344920,2.589697,0.908936,0.000000
16/08/2022,16:40:44:185,8338949,672,35,3.612357,0.262281,0.000121,3.274727,3.537130,12.278310,12.342524,2.521897,0.922729,0.000000
16/08/2022,16:40:45:168,8339932,699,36,3.615469,0.350501,0.002287,3.345497,3.698285,12.672439,12.354472,2.582196,1.109741,0.968750
16/08/2022,16:40:46:175,8340939,698,35,3.617586,0.345783,0.002608,3.327378,3.675769,12.447074,12.357723,2.560682,0.804321,0.000000
16/08/2022,16:40:47:187,8341951,697,35,3.608739,0.353361,0.000788,3.017452,3.371601,10.824194,12.302571,2.272969,1.174072,0.000000
16/08/2022,16:40:48:185,8342949,699,36,3.626243,0.343534,0.002352,3.747148,4.093034,14.644578,12.387217,2.960326,0.859497,1.109375
16/08/2022,16:40:49:180,8343944,2802,36,3.631298,0.361934,0.000855,3.405139,3.767928,12.842090,12.403430,2.627998,1.013184,0.000000
16/08/2022,16:40:50:177,8344941,699,35,3.626724,0.344167,0.002333,3.155960,3.502460,11.704259,12.378610,2.416133,1.079102,0.000000
16/08/2022,16:40:51:177,8345941,699,36,3.622353,0.384619,0.001101,3.118358,3.504078,11.340736,12.341617,2.371381,0.829712,0.000000
16/08/2022,16:40:52:182,8346946,699,36,3.626219,0.324768,0.001831,3.403992,3.730591,12.943176,12.363101,2.639832,1.043457,0.960938
16/08/2022,16:40:53:177,8347941,699,35,3.627343,0.296977,0.002976,3.357602,3.657555,12.586408,12.371124,2.589834,0.850342,1.109375
16/08/2022,16:40:54:200,8348964,800,35,3.617152,0.306527,0.002976,3.030467,3.339969,11.019089,12.323175,2.293459,1.041626,0.000000
16/08/2022,16:40:55:169,8349933,599,35,3.618922,0.348806,0.001013,3.315684,3.665504,12.224657,12.319569,2.548485,1.043213,0.000000
16/08/2022,16:40:56:188,8350952,699,36,3.623449,0.344606,0.000693,3.404426,3.749725,12.852593,12.338015,2.636744,0.755005,0.000000
16/08/2022,16:40:57:177,8351941,655,35,3.623862,0.271121,0.000540,3.363169,3.634829,12.651844,12.349425,2.608084,1.237671,0.000000
16/08/2022,16:40:58:198,8352962,699,36,3.611602,0.340564,0.003144,2.933387,3.277095,10.513953,12.284528,2.201273,0.905518,0.000000
16/08/2022,16:40:59:194,8353958,699,35,3.622897,0.314501,0.002152,3.604721,3.921374,13.864187,12.342129,2.825611,1.121826,0.000000
16/08/2022,16:41:00:206,8354970,699,36,3.625397,0.324418,0.000858,3.367903,3.693178,12.733797,12.356062,2.616178,0.987915,0.000000
16/08/2022,16:41:01:180,8355944,699,35,3.631792,0.450888,0.002654,3.348792,3.802333,12.631259,12.365998,2.584305,1.068481,0.000000
16/08/2022,16:41:02:200,8356964,699,35,3.621160,0.389044,0.003325,2.933451,3.325820,10.540847,12.302509,2.197391,1.026245,0.000000
16/08/2022,16:41:03:197,8357961,599,36,3.621786,0.305595,0.001017,3.331742,3.638354,12.420176,12.306795,2.564135,1.095581,0.000000
16/08/2022,16:41:04:193,8358957,599,36,3.656934,0.310558,0.002630,4.294722,4.607910,17.858226,12.504664,3.505485,0.983643,0.000000
16/08/2022,16:41:05:189,8359953,766,36,3.651902,0.328524,0.001042,3.185900,3.515466,11.753190,12.477933,2.435217,0.798828,0.000000
16/08/2022,16:41:06:184,8360948,499,36,3.671415,0.311175,0.000796,3.887946,4.199917,15.249055,12.576605,3.094874,0.813110,0.000000
16/08/2022,16:41:07:210,8361974,499,36,3.674925,0.314981,0.000061,3.455043,3.770085,12.926510,12.589039,2.680082,0.978638,0.000000
16/08/2022,16:41:08:177,8362941,599,36,3.675387,0.317502,0.000417,3.369617,3.687536,12.691029,12.592776,2.603096,0.788452,0.000000
16/08/2022,16:41:09:228,8363992,699,36,3.693033,0.312568,0.000758,3.874065,4.187391,15.331462,12.687163,3.087746,1.128784,0.000000
16/08/2022,16:41:10:198,8364962,1331,36,3.687584,0.349038,0.001044,3.198072,3.548154,11.771140,12.652747,2.447614,1.011597,0.000000
16/08/2022,16:41:11:200,8365964,599,35,3.686362,0.322623,0.001044,3.328616,3.652283,12.613324,12.651381,2.583989,0.803711,0.000000
16/08/2022,16:41:12:211,8366975,2628,35,3.686231,0.297988,0.000548,3.384162,3.682698,12.690739,12.652788,2.611829,1.082397,0.000000
16/08/2022,16:41:13:225,8367989,1826,35,3.672765,0.367292,0.002583,2.945247,3.315122,10.615131,12.578850,2.207418,0.846069,1.109375
16/08/2022,16:41:14:235,8368999,931,35,3.681994,0.237675,0.001994,3.688941,3.928609,14.053617,12.632047,2.885754,1.153076,0.000000
16/08/2022,16:41:15:219,8369983,499,36,3.687313,0.381198,0.001994,3.446250,3.829442,13.019566,12.646039,2.685004,0.822876,0.000000
16/08/2022,16:41:16:226,8370990,499,35,3.691587,0.362803,0.000620,3.445506,3.808929,12.822221,12.652231,2.657634,0.848389,0.000000
16/08/2022,16:41:17:221,8371985,599,35,3.678783,0.341372,0.000121,2.993720,3.335213,10.677087,12.581267,2.245074,0.969116,0.000000
16/08/2022,16:41:18:234,8372998,599,35,3.676022,0.274106,0.003316,3.323591,3.601013,12.414760,12.575356,2.570845,0.937256,0.000000
16/08/2022,16:41:19:219,8373983,499,35,3.693942,0.338282,0.000602,3.831973,4.170856,14.870006,12.658455,3.035145,1.063843,0.000000
16/08/2022,16:41:20:227,8374991,599,36,3.693051,0.341797,0.002479,3.324340,3.668616,12.353268,12.647719,2.568991,0.853638,0.000000
16/08/2022,16:41:21:209,8375973,499,36,3.685248,0.361311,0.000121,3.115092,3.476524,11.200344,12.595562,2.351727,0.850586,0.000000
16/08/2022,16:41:22:242,8377006,499,35,3.688397,0.336626,0.000062,3.438355,3.775043,12.936653,12.607512,2.676018,1.008179,1.046875
16/08/2022,16:41:23:215,8377979,599,36,3.686592,0.337941,0.000532,3.300926,3.639399,12.504349,12.603706,2.557804,1.074707,0.000000
16/08/2022,16:41:24:252,8379016,725,36,3.692144,0.326315,0.000628,3.519590,3.846534,13.609270,12.638614,2.761464,0.962524,0.000000
16/08/2022,16:41:25:225,8379989,521,36,3.703771,0.758555,0.000059,3.247186,4.005800,12.304146,12.626226,2.480546,1.085815,0.000000
16/08/2022,16:41:26:220,8380984,599,36,3.704475,0.382081,0.000690,3.341251,3.724023,12.625755,12.626210,2.579832,0.901611,0.000000
16/08/2022,16:41:27:244,8382008,499,36,3.742656,0.357746,0.000061,4.421092,4.778899,18.233195,12.825458,3.604506,0.925781,0.000000
16/08/2022,16:41:28:226,8382990,699,36,3.738086,0.360608,0.000061,3.257034,3.617704,11.942863,12.793180,2.492955,1.162720,0.960938
16/08/2022,16:41:29:234,8383998,599,36,3.757745,0.336066,0.002362,3.960200,4.298628,16.127204,12.910109,3.189180,0.823486,0.000000
16/08/2022,16:41:30:245,8385009,499,35,3.755988,0.330703,0.002299,3.375988,3.708990,12.727041,12.903519,2.616769,1.152344,0.000000
16/08/2022,16:41:31:241,8386005,499,36,3.750025,0.318457,0.000604,3.271619,3.590680,12.261184,12.880326,2.521096,1.112793,1.007812
16/08/2022,16:41:32:255,8387019,718,35,3.735253,0.313089,0.000920,3.020741,3.334750,10.797763,12.806321,2.272731,1.137451,0.000000
16/08/2022,16:41:33:234,8387998,599,35,3.732655,0.310292,0.001746,3.351456,3.663494,12.617965,12.799500,2.587891,0.982178,1.007812
16/08/2022,16:41:34:244,8389008,499,36,3.747478,0.337064,0.000996,3.818123,4.156183,14.945090,12.874672,3.031953,0.942993,0.000000
16/08/2022,16:41:35:238,8390002,599,35,3.740536,0.281077,0.002301,3.271254,3.554632,12.097677,12.846700,2.512493,1.093262,0.000000
16/08/2022,16:41:36:261,8391025,726,36,3.724918,0.321431,0.001963,2.977657,3.301051,10.618152,12.767587,2.234845,1.058105,0.000000
16/08/2022,16:41:37:230,8391994,599,36,3.719447,0.283936,0.001551,3.289693,3.575181,12.352228,12.752396,2.540410,0.922119,0.000000
16/08/2022,16:41:38:251,8393015,599,35,3.716035,0.323360,0.003335,3.294262,3.620958,12.459990,12.742277,2.543069,0.791870,0.000000
16/08/2022,16:41:39:247,8394011,599,35,3.720934,0.297950,0.000418,3.551864,3.850231,13.713620,12.777731,2.794491,0.813965,0.000000
16/08/2022,16:41:40:254,8395018,599,35,3.707903,0.279386,0.000737,3.073740,3.353863,11.013871,12.715051,2.319520,0.808838,0.000000
16/08/2022,16:41:41:250,8396014,699,35,3.704721,0.308934,0.001576,3.308930,3.619439,12.556558,12.709356,2.569235,1.050903,1.023438
16/08/2022,16:41:42:260,8397024,1866,36,3.708798,0.346702,0.002324,3.470075,3.819101,12.996391,12.719587,2.686771,1.113159,0.000000
16/08/2022,16:41:43:258,8398022,599,36,3.693694,0.296699,0.002543,2.989996,3.289238,10.714362,12.647327,2.254853,1.317383,0.968750
16/08/2022,16:41:44:254,8399018,599,35,3.700694,0.295207,0.001040,3.593858,3.890104,13.964195,12.694217,2.828615,1.035645,0.000000
16/08/2022,16:41:45:268,8400032,599,36,3.699834,0.321872,0.002385,3.352286,3.676543,12.631770,12.691992,2.592649,0.993896,0.000000
16/08/2022,16:41:46:263,8401027,632,36,3.696191,0.279760,0.000543,3.318719,3.599022,12.391283,12.681123,2.558350,0.811890,0.000000
16/08/2022,16:41:47:258,8402022,599,36,3.680605,0.322028,0.002390,2.933609,3.258027,10.431184,12.601170,2.195241,1.083618,0.000000
16/08/2022,16:41:48:271,8403035,699,36,3.682361,0.358228,0.001044,3.370811,3.730083,12.688136,12.604260,2.607029,0.793823,0.000000
16/08/2022,16:41:49:267,8404031,810,36,3.695876,0.334040,0.000601,3.720559,4.055200,14.574642,12.675616,2.953343,1.099243,0.000000
16/08/2022,16:41:50:266,8405030,599,35,3.696261,0.353943,0.002392,3.350370,3.706705,12.550691,12.671172,2.583086,0.904297,1.007812
16/08/2022,16:41:51:259,8406023,499,35,3.685845,0.382629,0.002625,3.019348,3.404602,10.876221,12.607067,2.273682,0.901733,0.000000
16/08/2022,16:41:52:251,8407015,499,36,3.684497,0.305299,0.000061,3.342489,3.647849,12.616944,12.607417,2.586895,0.813110,0.000000
16/08/2022,16:41:53:289,8408053,697,35,3.684340,0.312451,0.000493,3.367106,3.680050,12.651725,12.608984,2.595042,1.060913,0.000000
16/08/2022,16:41:54:248,8409012,599,35,3.692693,0.329555,0.002643,3.577462,3.909660,13.774247,12.652182,2.803148,1.065796,0.000000
16/08/2022,16:41:55:310,8410074,599,36,3.683686,0.341199,0.002355,3.086432,3.429985,11.236827,12.603655,2.342415,0.852295,0.000000
16/08/2022,16:41:56:258,8411022,599,36,3.741346,1.230301,0.000862,3.972745,5.203908,16.737541,12.760448,3.167449,1.065430,0.000000
16/08/2022,16:41:57:285,8412049,599,36,3.757046,0.368078,0.001610,3.835364,4.205052,15.118176,12.840274,3.037272,1.037598,0.000000
16/08/2022,16:41:58:283,8413047,2279,35,3.758383,0.333049,0.002258,3.458203,3.793510,13.242368,12.855008,2.692388,1.035522,0.000000
16/08/2022,16:41:59:283,8414047,1601,36,3.789097,0.454516,0.002635,4.164669,4.621820,16.161570,12.972627,3.313547,1.109131,0.000000
16/08/2022,16:42:00:303,8415067,599,36,3.814950,0.479944,0.001278,4.029598,4.510821,15.273820,13.055059,3.181435,1.082153,0.000000
16/08/2022,16:42:01:269,8416033,599,36,3.830386,0.463963,0.004492,3.770643,4.239098,14.095172,13.092949,2.953144,0.873169,0.000000
