timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
175942712,13077476,1912,69,14.640648,5.78894,0.228882,5.952666,11.970488,28.841073,31.63839,4.773091,0.836914,0.0
175943686,13078450,1527,75,14.816342,12.251379,0.279268,6.669236,19.199884,39.370846,31.93609,5.456475,0.825684,0.0
175944673,13079437,1984,72,14.706552,5.098127,0.281677,6.280355,11.660159,29.027857,31.834925,5.105522,1.021484,0.0
175945656,13080420,2053,70,14.645225,6.602444,0.262278,6.100297,12.965019,30.073804,31.772908,4.933262,0.826416,0.0
175946672,13081436,1582,66,14.482566,3.916743,0.251592,5.843666,10.012001,25.940314,31.568142,4.697037,0.900391,1.078125
175947672,13082436,1389,70,14.413943,6.49859,0.260437,5.830511,12.589538,29.194168,31.482086,4.707164,1.062134,0.0
175948668,13083432,1796,69,14.347319,6.008701,0.289262,6.2505,12.548462,30.194781,31.436065,5.075796,1.021973,0.0
175949697,13084461,1232,63,14.112311,2.356863,0.21647,5.180578,7.753911,21.586917,31.085365,4.118557,0.993652,0.0
175950667,13085431,4011,64,13.910962,3.075507,0.203233,5.349363,8.628103,23.301477,30.799585,4.265811,1.055664,0.0
175951673,13086437,1405,61,13.725724,2.67227,0.228976,5.662615,8.563862,24.211828,30.571366,4.548441,1.264038,0.0
175952667,13087431,2379,69,13.672824,6.331016,0.264121,5.656775,12.251912,28.754172,30.506077,4.544328,1.0625,0.0
175953638,13088402,1462,63,13.589573,5.237295,0.227193,5.863243,11.327732,27.902716,30.413751,4.731054,0.900024,0.0
175954681,13089445,1586,63,13.505632,5.247328,0.24615,5.678028,11.171506,27.343562,30.307171,4.571301,0.838745,0.0
175955653,13090417,1056,61,13.330314,2.888237,0.192343,5.72304,8.80362,24.49287,30.090381,4.618834,0.734863,0.0
175956695,13091459,1895,61,13.189655,3.188836,0.264925,5.82465,9.278411,25.312008,29.924503,4.680492,1.02478,0.0
175957668,13092432,1441,60,12.959866,1.602334,0.206499,5.200125,7.008958,20.817151,29.585905,4.134853,1.167358,0.0
175958712,13093476,1673,63,12.847884,4.018545,0.274846,5.447294,9.740685,24.947149,29.424542,4.356306,0.902466,1.085938
175959631,13094395,1970,68,12.92896,8.568681,0.280832,6.174909,15.024421,33.339181,29.570363,5.006697,1.098389,0.0
180000692,13095456,2002,68,12.910944,6.294857,0.283657,5.801528,12.380042,29.536831,29.569262,4.654014,1.12085,0.0
180001638,13096402,1824,64,12.872837,5.978109,0.255473,5.671725,11.905307,28.093717,29.513349,4.559631,0.995117,0.0
180002674,13097438,1491,66,12.843169,6.169653,0.309503,5.514607,11.993763,28.081914,29.464987,4.421436,1.043091,0.984375
180003641,13098405,2295,72,13.034015,11.042532,0.380998,6.577657,18.001188,38.02284,29.781628,5.364378,1.064453,0.0
180004660,13099424,2049,83,13.134296,9.339894,0.3166,6.281193,15.937687,34.471468,29.943427,5.070341,0.868896,1.078125
180005645,13100409,2108,82,13.399498,13.316076,0.35897,6.746454,20.421501,40.901812,30.342626,5.483889,0.880859,0.0
180006656,13101420,1837,70,13.345079,5.899962,0.187939,5.766229,11.854129,28.16441,30.265999,4.640034,0.88208,1.078125
180007656,13102420,1574,78,13.37079,7.623056,0.468902,5.965205,14.057163,31.407991,30.307233,4.792831,1.034058,0.0
180008660,13103424,1721,72,13.454779,8.848877,0.311401,6.562195,15.722473,34.672607,30.463139,5.350403,0.969971,0.0
180009653,13104417,1912,73,13.489822,7.638939,0.374783,6.418357,14.432079,33.410304,30.568816,5.209448,1.033447,0.929688
180010647,13105411,1507,69,13.432623,5.355174,0.469411,6.052376,11.876962,29.021817,30.513953,4.866893,0.959106,0.0
180011655,13106419,1413,68,13.334676,4.184592,0.682501,5.806445,10.673538,26.720319,30.379279,4.644198,0.733032,0.0
180012650,13107414,1513,64,13.201004,3.609837,0.515475,5.503619,9.62893,24.817741,30.178667,4.362865,0.871338,0.0
180013664,13108428,1575,69,13.113082,4.490725,0.258646,5.972471,10.721842,27.546934,30.08524,4.802128,1.093262,0.0
180014643,13109407,1731,71,13.181118,8.140609,0.585612,6.265554,14.991775,33.782326,30.218995,5.052361,0.727051,0.0
180015659,13110423,1665,68,13.105656,4.576825,0.288326,6.155502,11.020653,28.14899,30.146619,4.960494,0.973267,0.929688
180016662,13111426,1685,69,13.125141,6.872847,0.634418,6.134843,13.642108,31.690282,30.202632,4.905701,1.01062,0.929688
180017664,13112428,1624,73,13.134094,6.392444,0.771915,6.210738,13.375097,31.349129,30.243701,4.970379,1.062744,0.0
180018645,13113409,1450,72,13.174351,7.146113,0.656753,6.457288,14.260154,32.836183,30.336475,5.18342,1.166504,0.0
180019660,13114424,1656,66,13.070018,4.177028,0.213716,5.811751,10.202495,26.534257,30.203126,4.689452,1.119019,0.0
180020662,13115426,2006,72,13.060135,6.777792,0.257022,5.762044,12.796857,29.687945,30.184469,4.633074,0.822021,0.0
180021665,13116429,1895,70,13.079491,7.376726,0.378515,5.845243,13.600485,31.055016,30.215622,4.706407,1.029541,1.085938
180022667,13117431,1789,0,12.979304,4.152035,0.4055,5.72232,10.279855,26.139737,30.069764,4.566672,1.161011,0.0
180023662,13118426,1865,67,12.93639,5.357828,0.613455,5.810024,11.781306,28.730702,30.021797,4.633986,0.890747,0.0
180024659,13119423,1588,67,12.866374,4.638611,0.623724,5.703751,10.966085,27.00318,29.914528,4.511572,0.875,0.0
180025657,13120421,1978,68,12.872024,6.312823,0.57613,6.136084,13.025037,31.083546,29.956153,4.923094,0.819092,0.0
180026672,13121436,1728,64,12.758308,3.569304,0.468364,5.647127,9.684795,25.199882,29.786456,4.493996,0.769897,0.0
180027661,13122425,1497,69,12.79508,7.230981,0.676684,5.866056,13.773721,31.461877,29.84713,4.70061,1.062012,0.0
180028661,13123425,1416,68,12.828775,6.550325,0.678175,6.520517,13.749018,32.47311,29.939884,5.22909,0.851318,0.0
180029668,13124432,1744,68,12.803939,5.484497,0.581482,6.067383,12.133362,29.57312,29.926785,4.836365,0.97998,0.929688
180030672,13125436,2064,74,12.783574,6.353663,0.339152,5.54431,12.237124,28.777166,29.885481,4.440171,0.816772,1.085938
180031660,13126424,3738,97,12.812947,7.700562,0.265254,5.635317,13.601132,30.469999,29.906503,4.53456,1.175049,0.0
180032679,13127443,1816,65,12.762172,5.135487,0.388906,5.84812,11.372513,27.817732,29.832948,4.683551,0.877319,0.0
180033665,13128429,3966,65,12.66743,3.878458,0.369385,5.911006,10.15885,26.478357,29.710865,4.753681,0.765503,0.0
180034665,13129429,1562,67,12.57253,4.201645,0.391034,5.379822,9.972501,25.260446,29.554147,4.281632,1.154663,0.0
180035658,13130422,1306,63,12.499215,3.930335,0.59773,5.993701,10.521766,27.096073,29.46627,4.787266,1.079346,0.0
180036670,13131434,1415,60,12.373352,2.929503,0.324311,5.69282,8.946634,24.712539,29.297683,4.556124,0.914185,1.085938
180037670,13132434,1629,60,12.21663,2.516299,0.202687,5.32247,8.041457,22.628603,29.056643,4.236912,0.876099,0.0
