timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
110817722,1625345,1154,48,8.216421,0.860474,0.009582,4.214736,5.084792,8.489726,16.080965,3.304195,0.719971,0.0
110818747,1626370,994,53,8.252206,3.891104,0.006472,5.381385,9.278962,8.516306,25.709285,4.406596,0.954468,0.0
110819718,1627341,1803,59,8.586743,11.127911,0.001071,6.252891,17.381873,8.841166,36.763787,5.09572,0.708008,0.0
110820735,1628358,1498,58,8.691639,5.585973,0.026499,5.995951,11.608422,8.937229,28.663392,4.838372,0.870239,0.0
110821714,1629337,799,50,8.652835,2.561618,0.001019,5.061721,7.624358,8.889497,24.280578,4.202304,0.717407,0.0
110822736,1630359,699,46,8.539121,0.646823,0.001185,4.752513,5.40052,8.77917,21.013488,3.928405,0.723022,0.0
110823717,1631340,699,46,8.411255,0.304399,0.001732,4.729837,5.035968,8.642543,20.792026,3.934976,0.727539,0.0
110824741,1632364,599,46,8.268565,0.287195,0.000436,4.05091,4.338541,8.530064,16.057935,3.209138,0.729614,0.0
110825722,1633345,599,45,8.08353,0.32304,0.000436,2.890467,3.213942,8.434532,10.406614,2.176341,0.728638,0.0
110826729,1634352,599,44,7.95549,0.323903,0.001742,4.103327,4.428973,8.294337,16.839233,3.339451,0.728271,0.0
110827729,1635352,699,45,7.849993,0.286732,0.002306,4.730164,5.019201,8.233107,19.918978,3.878975,0.728394,0.0
110828725,1636348,599,45,7.739789,0.23938,0.000977,4.523929,4.764286,8.126532,18.565369,3.639893,0.733398,0.0
110829750,1637373,699,43,7.578454,0.292001,0.000613,2.91164,3.204254,7.95144,10.318929,2.178066,0.733887,0.0
110830740,1638363,940,55,7.818037,9.402338,0.000656,4.732975,14.135969,8.177175,30.938353,3.80781,1.120605,0.0
110831732,1639355,2480,63,8.178239,12.288,0.001481,5.726381,18.015862,8.524692,37.458103,4.634722,1.102905,0.0
110832746,1640369,2130,61,8.498488,11.468703,0.001107,5.747703,17.217513,8.832666,36.168181,4.678071,1.071899,0.0
110833723,1641346,2459,64,8.799106,11.014318,0.000722,5.784556,16.799596,9.121183,35.119617,4.703824,1.044922,0.0
110834738,1642361,1495,64,9.064832,10.416458,0.00075,5.997376,16.414584,9.37567,35.578631,4.880727,1.092896,0.0
110835726,1643349,1456,66,9.332531,10.564969,0.001021,5.876376,16.442366,9.63209,35.534488,4.745589,1.107178,0.0
110836753,1644376,1465,79,9.648845,12.403989,0.001113,5.900869,18.305971,9.937845,36.801602,4.776573,1.120117,0.0
110837730,1645353,1732,80,9.938803,11.702347,0.000297,5.85159,17.554234,10.217203,36.150945,4.744269,1.054077,0.0
110838769,1646392,1920,80,10.223761,12.138999,0.001812,5.96464,18.105451,10.492446,37.419032,4.807513,1.067383,0.0
110839721,1647344,3174,88,10.510643,11.739389,0.134477,6.088521,17.962388,10.769635,37.105975,4.926903,0.994141,0.0
110840765,1648388,2043,61,10.509961,4.579496,0.003334,5.907772,10.490602,10.760148,27.166041,4.743331,0.960693,0.0
110841733,1649356,1063,62,10.579974,6.211026,0.15451,6.014982,12.380518,10.820738,29.921688,4.84958,0.731812,0.0
