Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
16/08/2022,16:05:12:156,6206920,844,43,5.088224,2.500212,0.065304,4.562410,7.127925,19.774562,15.403377,3.598589,0.852905,0.000000
16/08/2022,16:05:13:155,6207919,2140,51,5.399747,8.121472,0.354823,5.222633,13.698928,30.002304,15.931546,4.167442,1.024902,1.406250
16/08/2022,16:05:14:168,6208932,2071,50,5.653001,6.409963,0.542777,5.481841,12.434581,29.049222,16.403782,4.396408,0.889893,1.109375
16/08/2022,16:05:15:162,6209926,699,44,5.680924,1.021354,0.145224,5.262843,6.429420,20.259676,16.542594,4.241277,0.734375,0.000000
16/08/2022,16:05:16:155,6210919,749,43,5.707152,1.109010,0.146877,5.163857,6.419744,20.138224,16.670239,4.161075,1.108887,0.945312
16/08/2022,16:05:17:165,6211929,1272,42,5.748987,1.647273,0.150836,5.088660,6.886769,20.485724,16.805416,4.080926,0.797974,1.046875
16/08/2022,16:05:18:166,6212930,1076,43,5.799109,1.893842,0.152648,5.092024,7.138515,20.862119,16.951747,4.083252,0.844971,0.000000
16/08/2022,16:05:19:166,6213930,975,45,5.918669,3.324983,0.154082,5.664380,9.143444,24.797834,17.232245,4.603490,0.765625,0.000000
16/08/2022,16:05:20:163,6214927,1297,45,5.975274,1.900827,0.148953,5.455407,7.505186,22.103036,17.406028,4.421108,0.748047,0.000000
16/08/2022,16:05:21:170,6215934,812,43,6.000985,1.563307,0.150325,4.982988,6.696621,19.883898,17.494435,3.992518,0.844116,0.000000
16/08/2022,16:05:22:168,6216932,1143,43,6.024881,1.100269,0.151588,5.413582,6.665439,21.335488,17.632438,4.390770,0.866699,0.000000
16/08/2022,16:05:23:169,6217933,1497,45,6.094474,2.212983,0.173626,5.590771,7.977381,23.603420,17.845261,4.538557,0.755005,0.000000
16/08/2022,16:05:24:163,6218927,1297,45,6.162347,2.335632,0.191895,5.467407,7.994934,22.840088,18.023648,4.429016,0.850952,0.000000
16/08/2022,16:05:25:175,6219939,1703,45,6.205658,1.951957,0.146288,5.285349,7.383594,21.561314,18.149235,4.264847,0.792114,0.000000
16/08/2022,16:05:26:175,6220939,775,43,6.199162,0.992919,0.145643,4.887727,6.026289,18.803162,18.172916,3.904203,0.833496,0.984375
16/08/2022,16:05:27:166,6221930,1223,43,6.201781,1.017905,0.138827,5.115837,6.272569,19.823351,18.231802,4.113794,0.781006,1.046875
16/08/2022,16:05:28:180,6222944,1797,42,6.197061,1.101835,0.155760,4.810814,6.068410,18.761652,18.250536,3.841577,0.838013,0.000000
16/08/2022,16:05:29:162,6223926,1044,45,6.259672,2.494541,0.182683,5.252160,7.929384,22.350568,18.398722,4.238023,0.913086,0.000000
16/08/2022,16:05:30:174,6224938,1657,45,6.306221,1.991086,0.165428,5.427725,7.584238,22.171579,18.531311,4.400610,0.837280,0.000000
16/08/2022,16:05:31:169,6225933,699,43,6.299346,1.105207,0.152950,4.857844,6.116000,18.850705,18.542867,3.879799,0.789917,1.109375
16/08/2022,16:05:32:182,6226946,1099,42,6.287022,0.995008,0.171891,4.785990,5.952889,18.550516,18.543138,3.819819,0.737305,0.000000
16/08/2022,16:05:33:162,6227926,1199,45,6.330591,2.158765,0.201904,5.130628,7.491297,21.442500,18.648033,4.131954,0.751587,0.000000
