timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
160931371,6466135,2153,42,5.730996,1.454671,0.04383,4.268882,5.767383,17.231862,17.317611,3.336735,0.961182,0.0
160932343,6467107,1294,58,5.95967,6.789804,0.106514,5.087495,11.983812,27.368808,17.684838,4.072352,1.024048,0.0
160933370,6468134,1696,49,6.181269,6.009008,0.666098,5.60951,12.284616,29.061258,18.083419,4.496194,0.719238,0.0
160934369,6469133,1809,55,6.413728,6.477154,0.336801,5.754795,12.56875,29.521609,18.499688,4.630406,1.041992,0.0
160935371,6470135,1070,47,6.471289,2.709045,0.190247,5.12616,8.025452,21.984607,18.624274,4.111428,0.787598,0.0
160936368,6471132,1614,55,6.651427,5.720232,0.249384,5.54048,11.510096,27.784607,18.951428,4.467896,0.975464,0.953125
160937370,6472134,1447,48,6.749275,3.809438,0.275881,5.311343,9.396662,24.770733,19.158845,4.26555,0.815796,0.0
160938364,6473128,1318,46,6.751727,1.479309,0.144897,5.193726,6.817932,20.718783,19.214613,4.168195,0.899902,1.179688
160939373,6474137,899,46,6.736513,1.326795,0.17478,4.822879,6.324454,19.236665,19.215398,3.847786,0.775391,0.0
160940368,6475132,1015,45,6.709834,1.245347,0.206296,4.543789,5.995433,18.157717,19.177359,3.594414,0.912354,1.179688
160941366,6476130,1281,49,6.842785,5.190994,0.169794,5.090393,10.451182,25.467302,19.401102,4.073713,0.838257,0.0
160942375,6477139,1073,47,6.901286,2.974622,0.140681,5.37042,8.485723,23.549337,19.54866,4.336683,0.836548,0.0
160943373,6478137,1311,47,6.931417,2.237936,0.138145,5.360518,7.736599,22.298419,19.647946,4.308925,0.799805,0.921875
160944372,6479136,1136,45,6.919167,1.463744,0.129707,4.994619,6.58807,20.028154,19.661498,3.996641,0.865112,0.953125
