timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
121330076,5537699,2035,46,6.022309,3.472852,0.018213,5.117085,8.60815,6.728998,23.17985,4.078524,0.751465,0.0
121331081,5538704,933,57,6.372936,10.217346,0.304378,5.367475,15.889199,7.054512,32.850635,4.334604,0.733276,0.0
121332091,5539714,1526,54,6.516562,4.845402,0.184867,5.34419,10.374458,7.173674,26.640297,4.332707,0.997437,0.0
121333087,5540710,1297,56,6.809961,8.627392,0.260913,5.778237,14.666542,7.443418,32.277687,4.64266,0.752197,0.0
121334083,5541706,1614,48,6.848566,2.378594,0.104605,5.412029,7.895228,7.459505,22.564599,4.385663,0.815552,0.0
121335092,5542715,998,47,6.848929,1.74152,0.098525,5.018727,6.858772,7.482964,20.14062,4.007096,0.74231,0.0
121336088,5543711,1744,48,6.863644,2.281492,0.144656,4.831521,7.257668,7.474862,20.522437,3.851802,0.761353,0.921875
121337098,5544721,1316,47,6.860385,1.737357,0.10963,4.925035,6.772022,7.449836,19.878161,3.927333,0.739136,0.0
121338075,5545698,1397,48,6.919343,3.009959,0.096483,5.39004,8.496481,7.487552,23.586831,4.37686,0.75293,0.0
121339101,5546724,1686,47,6.904996,1.623984,0.099416,4.784786,6.508186,7.453379,19.04078,3.775175,0.740356,0.0
121340075,5547698,1262,45,6.870779,1.266821,0.09919,4.606995,5.973006,7.399081,18.335686,3.672034,0.753418,0.0
121341101,5548724,1255,46,6.854316,1.628566,0.099676,4.668782,6.397024,7.36426,18.987761,3.730226,0.751953,0.0
121342080,5549703,1796,46,6.826565,1.383404,0.097502,4.615345,6.096251,7.317796,18.328572,3.67246,0.738525,0.0
121343104,5550727,1124,46,6.839322,2.021579,0.099502,5.06997,7.191051,7.313365,20.945179,4.041877,0.753418,0.921875
121344079,5551702,1896,47,6.837719,2.103177,0.103396,4.588853,6.795426,7.294442,19.28443,3.673948,0.727783,0.0
121345105,5552728,1600,46,6.814733,1.440267,0.099557,4.638484,6.178309,7.255536,18.320626,3.65296,0.771973,0.921875
121346083,5553706,1397,46,6.785507,1.398574,0.099584,4.518981,6.017138,7.210158,17.945465,3.57439,0.733887,0.0
121347112,5554735,1674,45,6.767145,1.435732,0.096269,4.727257,6.259258,7.176978,19.105816,3.789235,0.773804,0.0
121348088,5555711,1443,46,6.795986,2.125219,0.098982,5.32622,7.550422,7.222898,22.146271,4.279883,0.767212,0.921875
121349098,5556721,1669,46,6.775384,1.458646,0.099785,4.645912,6.204343,7.187467,18.540194,3.6821,0.734375,0.0
121350089,5557712,1052,46,6.751151,1.412442,0.096714,4.595084,6.10424,7.148316,18.453849,3.658238,0.766357,0.921875
121351098,5558721,1497,45,6.728973,1.422119,0.098149,4.603613,6.123881,7.112131,18.294919,3.65208,0.735352,0.0
121352090,5559713,1198,45,6.713185,1.488193,0.099991,4.702671,6.290855,7.082536,19.032141,3.772444,0.742188,0.0
121353101,5560724,1318,45,6.714999,1.709169,0.099244,4.955969,6.764381,7.071264,20.042689,3.943573,0.747681,0.0
121354096,5561719,1336,46,6.691597,1.365171,0.100759,4.60094,6.06687,7.034998,18.303189,3.663919,0.738037,0.0
121355108,5562731,799,45,6.67128,1.385467,0.09508,4.638749,6.119296,7.147216,18.45638,3.681267,0.761108,0.921875
121356104,5563727,1189,45,6.643443,1.338793,0.093061,4.469981,5.901834,7.102204,17.5151,3.521162,0.729248,0.0
121357100,5564723,1152,45,6.632596,1.575984,0.094869,4.66704,6.337893,7.075071,19.463664,3.768079,0.920166,0.0
121358108,5565731,1046,45,6.635511,1.770508,0.090117,4.85367,6.714295,7.062199,19.464081,3.843191,0.753052,0.0
121359105,5566728,1149,46,6.643764,2.198843,0.092584,4.573814,6.865242,7.055123,19.286323,3.656368,0.725342,0.0
121400100,5567723,1385,46,6.626091,1.490188,0.090298,4.566923,6.14741,7.045135,18.019268,3.56449,0.733643,0.0
121401110,5568733,1125,46,6.612541,1.532429,0.084482,4.628652,6.245563,7.016693,18.629463,3.683518,0.742188,0.0
121402105,5569728,1593,46,6.610078,1.663314,0.09122,4.789657,6.544191,6.999666,19.858302,3.864734,0.869995,0.0
121403096,5570719,1521,45,6.603883,1.659788,0.091399,4.684556,6.435743,6.979626,18.487641,3.68499,0.738525,0.0
121404104,5571727,1098,46,6.587671,1.425774,0.088258,4.631796,6.145828,6.970211,18.540754,3.696511,0.776855,0.921875
121405113,5572736,1159,45,6.568094,1.357381,0.091734,4.594759,6.043875,6.936896,18.150609,3.63749,0.728394,0.0
121406109,5573732,998,45,6.543306,1.273459,0.088108,4.519321,5.880888,6.898804,18.028418,3.599683,0.755615,0.0
121407105,5574728,1497,46,6.538686,1.646661,0.091031,4.6756,6.413292,6.881551,18.809001,3.70378,0.74353,0.0
121408116,5575739,998,45,6.520399,1.313727,0.088121,4.622739,6.024587,6.808209,18.326954,3.685005,0.731567,0.0
121409106,5576729,1251,45,6.507192,1.39101,0.088564,4.675066,6.15464,6.784633,18.586779,3.726656,0.760864,0.0
121410106,5577729,1459,45,6.49059,1.353635,0.091152,4.592386,6.037173,6.721707,18.143594,3.632208,0.737305,0.0
121411123,5578746,1695,46,6.473785,1.353932,0.086157,4.58042,6.020508,6.696639,18.097624,3.634631,0.740601,0.0
121412096,5579719,1098,46,6.475483,1.598557,0.087742,4.83425,6.520549,6.690243,19.538459,3.852491,0.741699,0.0
121413121,5580744,1873,45,6.461951,1.284752,0.086718,4.714194,6.085664,6.669255,18.615848,3.765361,0.766968,0.921875
121414115,5581738,1297,45,6.458494,1.533493,0.088816,4.745295,6.367604,6.658213,19.044934,3.760182,0.72876,0.0
121415106,5582729,1100,45,6.441629,1.327377,0.085388,4.571134,5.983899,6.634251,18.098122,3.63402,0.769409,0.0
121416113,5583736,1497,45,6.426291,1.319654,0.090628,4.59755,6.007832,6.612102,18.205502,3.650861,0.733643,0.0
121417122,5584745,914,46,6.455208,2.349823,0.087522,4.792987,7.230332,6.634358,20.590347,3.862584,0.753906,0.0
121418116,5585739,1461,45,6.448456,1.537191,0.088619,4.642041,6.26785,6.621164,18.38257,3.663438,0.73584,0.0
121419125,5586748,1062,45,6.439209,1.423499,0.087167,4.677563,6.188229,6.605779,18.712408,3.72462,0.779053,0.0
121420119,5587742,1432,45,6.423996,1.333751,0.08689,4.595984,6.016625,6.58457,18.016562,3.625996,0.744629,0.0
121421111,5588734,1295,45,6.413189,1.349521,0.082321,4.688052,6.119894,6.568057,18.62917,3.747215,0.733032,0.0
121422117,5589740,1085,45,6.408751,1.482766,0.081976,4.723049,6.287791,6.558138,19.005646,3.782763,0.765869,0.953125
121423123,5590746,2096,46,6.443428,2.048413,0.083992,5.242464,7.374869,6.587453,21.626326,4.201001,0.728394,0.0
121424117,5591740,1097,46,6.4337,1.407987,0.082349,4.682874,6.17321,6.57254,18.568931,3.719205,0.733521,0.0
121425123,5592746,1345,45,6.414,1.267247,0.080807,4.530724,5.878779,6.92207,17.950427,3.602797,0.740967,0.0
121426113,5593736,1312,45,6.422797,2.026003,0.081198,4.551893,6.659094,6.912631,18.793252,3.600832,0.730103,0.0
121427123,5594746,1451,45,6.416402,1.495423,0.082182,4.664319,6.241924,6.888917,18.941798,3.748977,0.793091,0.0
121428136,5595759,1373,46,6.444554,2.055052,0.083477,5.059083,7.197612,6.900052,20.924302,4.039621,0.73877,0.0
121429111,5596734,1230,46,6.434516,1.444439,0.081621,4.641323,6.167383,6.873519,18.388727,3.671156,0.733154,0.0
