Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
16/08/2022,15:16:38:907,3293671,2123,69,12.635610,8.295845,0.159811,6.573544,15.029201,33.566389,29.057244,5.346259,0.960938,1.085938
16/08/2022,15:16:39:915,3294679,1710,70,12.794498,10.699271,0.329293,6.114523,17.143087,35.581268,29.286983,4.935677,0.953979,0.000000
16/08/2022,15:16:40:929,3295693,2223,73,12.822048,7.319769,0.285933,5.948793,13.554495,31.296904,29.359842,4.792312,1.011353,0.000000
16/08/2022,15:16:41:913,3296677,1977,70,12.852760,7.097690,0.265275,6.314740,13.677705,32.210104,29.462146,5.108612,0.928833,0.000000
16/08/2022,15:16:42:926,3297690,898,68,12.952526,8.932838,0.242904,6.507263,15.683005,34.759213,29.649057,5.307958,0.763916,0.000000
16/08/2022,15:16:43:923,3298687,1246,60,12.704057,1.130687,0.061638,4.885559,6.077883,18.616748,29.250318,3.898289,0.745117,0.000000
16/08/2022,15:16:44:917,3299681,899,59,12.496117,1.767326,0.059199,5.043539,6.870063,19.821182,28.914573,4.031136,0.862671,0.937500
16/08/2022,15:16:45:931,3300695,1098,57,12.278161,1.279837,0.065758,5.017090,6.362685,19.367774,28.575321,4.003906,0.765991,0.000000
16/08/2022,15:16:46:928,3301692,1700,63,12.279423,5.963256,0.252541,6.097352,12.313148,30.041311,28.628254,4.922899,1.057983,0.000000
16/08/2022,15:16:47:926,3302690,1678,63,12.260673,5.737060,0.237352,5.778953,11.753365,28.351473,28.618398,4.646324,1.046387,0.000000
16/08/2022,15:16:48:927,3303691,2087,60,12.140496,3.393689,0.245547,5.249757,8.888994,23.433219,28.433584,4.197604,1.090332,0.000000
16/08/2022,15:16:49:924,3304688,1695,59,12.019800,3.474548,0.256470,5.029968,8.760986,22.662964,28.227490,3.980774,1.092285,0.000000
16/08/2022,15:16:50:933,3305697,1765,0,11.902042,3.621297,0.286114,4.811880,8.719291,22.009742,28.005650,3.785707,0.940796,0.000000
16/08/2022,15:16:51:929,3306693,2103,68,11.856063,4.529585,0.129169,5.963547,10.622301,27.845002,27.999872,4.866448,0.939331,0.000000
16/08/2022,15:16:52:923,3307687,1969,61,11.846086,5.291020,0.240039,6.044807,11.575865,29.163284,28.041256,4.930427,0.933960,0.000000
16/08/2022,15:16:53:933,3308697,1444,60,11.730590,3.263019,0.254323,5.078616,8.595958,22.239003,27.835069,4.012371,1.062256,0.000000
16/08/2022,15:16:54:925,3309689,1896,58,11.637259,3.132112,0.249212,5.764411,9.145735,25.167071,27.738735,4.654912,0.867554,0.000000
16/08/2022,15:16:55:937,3310701,898,55,11.461946,1.681141,0.136822,4.875928,6.693891,19.316583,27.439749,3.863083,0.744751,0.000000
16/08/2022,15:16:56:936,3311700,1397,55,11.283936,1.196217,0.074558,5.261134,6.531909,20.759258,27.198536,4.245113,0.934448,0.000000
16/08/2022,15:16:57:940,3312704,1714,67,11.286531,5.463443,0.241998,5.651383,11.356824,27.486227,27.208769,4.571815,1.018066,0.000000
16/08/2022,15:16:58:933,3313697,1712,61,11.316035,5.682592,0.335085,6.091661,12.109339,29.332803,27.284931,4.914911,0.856567,0.000000
16/08/2022,15:16:59:926,3314690,1951,61,11.325846,5.517320,0.244509,5.830855,11.592684,28.031163,27.311422,4.690251,0.994385,0.000000
16/08/2022,15:17:00:938,3315702,1401,59,11.270876,3.658552,0.333332,5.787053,9.778936,25.565011,27.249425,4.657339,0.855713,0.937500
16/08/2022,15:17:01:936,3316700,1366,60,11.253335,4.342835,0.308128,6.135088,10.786051,27.641937,27.263625,4.960236,0.819946,0.906250
16/08/2022,15:17:02:934,3317698,1566,61,11.254729,5.085079,0.286198,5.921206,11.292483,27.824631,27.283621,4.762271,0.940063,0.000000
16/08/2022,15:17:03:931,3318695,1703,0,11.186935,3.428141,0.183534,5.737182,9.348858,24.743591,27.193359,4.629041,0.927490,0.000000
16/08/2022,15:17:04:948,3319712,1563,57,11.084733,2.404345,0.188304,5.726908,8.319557,23.526456,27.062529,4.615455,0.824097,0.000000
16/08/2022,15:17:05:933,3320697,1075,57,11.007120,3.051578,0.197075,5.701331,8.949984,24.205416,26.958653,4.607435,0.806885,0.000000
16/08/2022,15:17:06:944,3321708,1141,57,10.912756,2.024013,0.172633,6.128054,8.324700,24.102876,26.858191,4.979291,0.938721,0.000000
16/08/2022,15:17:07:925,3322689,1597,58,10.873928,3.649540,0.190538,5.996251,9.836329,25.793034,26.819769,4.862568,0.799561,0.000000
16/08/2022,15:17:08:942,3323706,1415,54,10.769297,1.991101,0.207035,5.692430,7.890565,22.644727,26.673344,4.591870,0.819214,1.226562
16/08/2022,15:17:09:940,3324704,1818,58,10.694065,3.009867,0.238679,5.449473,8.698020,23.401275,26.554615,4.387863,0.874023,0.000000
16/08/2022,15:17:10:937,3325701,1483,54,10.597276,2.149869,0.185307,5.643367,7.978543,22.716331,26.417808,4.554665,0.816772,1.007812
16/08/2022,15:17:11:947,3326711,1863,57,10.599198,4.378292,0.178693,6.094324,10.651309,27.097771,26.441995,4.954521,0.852905,0.000000
16/08/2022,15:17:12:942,3327706,1352,57,10.539342,2.963562,0.182984,5.791625,8.938172,24.116146,26.358181,4.686714,0.735474,0.000000
16/08/2022,15:17:13:937,3328701,1139,58,10.467891,2.834424,0.179486,5.514756,8.528666,23.101837,26.242465,4.433768,1.072021,0.976562
16/08/2022,15:17:14:950,3329714,1697,54,10.383009,2.261855,0.174833,5.644955,8.081643,22.885612,26.122937,4.559700,0.807373,0.000000
16/08/2022,15:17:15:950,3330714,1197,54,10.322595,2.895438,0.189426,5.629921,8.714785,23.710501,26.035658,4.547390,0.802368,0.000000
16/08/2022,15:17:16:947,3331711,1297,53,10.265232,2.570550,0.184447,5.963031,8.718028,24.429733,25.978246,4.846594,0.744141,0.000000
16/08/2022,15:17:17:945,3332709,1380,54,10.217942,2.799275,0.184946,5.948895,8.933115,24.560486,25.927865,4.807546,0.827515,0.000000
16/08/2022,15:17:18:948,3333712,1397,53,10.154738,2.534639,0.204550,5.709053,8.448242,23.464539,25.839889,4.619568,0.776855,0.000000
16/08/2022,15:17:19:944,3334708,1120,54,10.095204,2.664127,0.219495,5.609149,8.492771,23.406161,25.752710,4.518488,0.802124,0.000000
16/08/2022,15:17:20:943,3335707,1345,54,10.041744,2.857499,0.220364,5.514428,8.592292,23.478231,25.671884,4.445138,0.851807,1.007812
16/08/2022,15:17:21:940,3336704,1298,57,10.026399,3.354612,0.169725,6.087325,9.611662,25.809012,25.676777,4.951851,0.779663,1.007812
16/08/2022,15:17:22:949,3337713,1298,54,9.987352,2.453589,0.179922,6.296294,8.929805,25.312142,25.663793,5.127748,0.878906,1.070312
16/08/2022,15:17:23:942,3338706,1784,55,9.964853,2.931986,0.193570,6.237442,9.362999,25.806378,25.668932,5.081903,0.767578,0.000000
16/08/2022,15:17:24:954,3339718,1439,54,9.909988,2.764635,0.175307,5.479410,8.419352,23.058026,25.576244,4.416882,0.845459,1.007812
16/08/2022,15:17:25:950,3340714,1780,55,9.861454,2.745434,0.195796,5.623272,8.564501,23.468441,25.500213,4.538780,0.807983,0.000000
16/08/2022,15:17:26:951,3341715,1984,54,9.808882,2.576591,0.234887,5.572032,8.383510,23.345334,25.423561,4.512618,0.808838,0.000000
16/08/2022,15:17:27:946,3342710,1424,53,9.746493,2.343945,0.188283,5.533245,8.065473,22.527942,25.319939,4.431688,0.747070,0.000000
16/08/2022,15:17:28:959,3343723,1304,55,9.715510,3.046293,0.194465,5.632980,8.873738,23.958571,25.271610,4.547549,1.192505,0.000000
16/08/2022,15:17:29:940,3344704,1582,54,9.696392,3.328282,0.228611,5.630704,9.187597,24.444099,25.241643,4.551333,0.828979,0.000000
16/08/2022,15:17:30:952,3345716,1116,54,9.658085,2.801458,0.194553,5.607022,8.603033,23.541173,25.182005,4.519834,1.006592,0.914062
16/08/2022,15:17:31:948,3346712,1364,54,9.592010,1.925683,0.161876,5.742371,7.829930,22.739610,25.093817,4.655817,0.997925,0.000000
16/08/2022,15:17:32:952,3347716,1297,53,9.551320,2.732624,0.179310,5.537303,8.449237,23.107837,25.023102,4.459301,0.871338,0.000000
16/08/2022,15:17:33:949,3348713,1048,52,9.484616,1.991629,0.217722,5.483568,7.692920,21.976903,24.913656,4.414007,0.782715,0.000000
16/08/2022,15:17:34:963,3349727,1309,52,9.459644,2.948703,0.219543,5.613639,8.781886,23.822175,24.874870,4.530403,0.808228,0.000000
16/08/2022,15:17:35:944,3350708,1796,52,9.409993,2.477823,0.182142,5.428638,8.088603,22.703331,24.796306,4.358295,0.802612,0.000000
16/08/2022,15:17:36:956,3351720,1996,53,9.394913,2.977533,0.195487,5.806553,8.979572,24.598599,24.789380,4.693168,0.771851,0.000000
16/08/2022,15:17:37:955,3352719,1432,54,9.348192,2.387917,0.234421,5.478615,8.100953,22.863371,24.719837,4.407571,0.848877,1.398438
16/08/2022,15:17:38:970,3353734,1435,52,9.297215,2.194702,0.222778,5.503357,7.920837,22.689575,24.647328,4.420628,0.843994,1.039062
16/08/2022,15:17:39:965,3354729,1584,52,9.258421,2.728427,0.176954,5.328990,8.234371,22.603890,24.572669,4.272521,0.715820,0.000000
16/08/2022,15:17:40:977,3355741,1298,52,9.226294,2.628955,0.202916,5.516986,8.348856,23.212757,24.524684,4.449451,0.988403,0.000000
16/08/2022,15:17:41:958,3356722,1454,53,9.202180,2.864426,0.236896,5.457123,8.558445,23.416150,24.484618,4.388018,0.782959,0.000000
16/08/2022,15:17:42:970,3357734,1661,52,9.170982,2.648217,0.182732,5.480783,8.311731,22.998607,24.432608,4.410973,0.842041,1.039062
16/08/2022,15:17:43:968,3358732,1436,52,9.134560,2.657507,0.190780,5.312959,8.161246,22.496194,24.362689,4.258334,0.791138,0.000000
16/08/2022,15:17:44:964,3359728,1098,51,9.059626,1.588681,0.209968,5.241957,7.040606,20.756404,24.233765,4.205999,0.721558,0.000000
16/08/2022,15:17:45:980,3360744,1875,52,9.050788,2.863740,0.205886,5.741050,8.810677,24.373352,24.238720,4.643646,0.796265,0.000000
16/08/2022,15:17:46:961,3361725,868,52,9.039438,2.430784,0.173923,6.133583,8.738290,24.847250,24.260823,4.987615,0.775024,0.000000
16/08/2022,15:17:47:976,3362740,1542,54,8.995999,2.328884,0.193153,5.273737,7.795775,21.893772,24.178145,4.232166,0.995728,0.000000
16/08/2022,15:17:48:974,3363738,1866,52,8.941571,1.864216,0.212902,5.418913,7.496030,21.996446,24.098981,4.366657,0.776001,0.000000
16/08/2022,15:17:49:971,3364735,1483,52,8.919014,2.675201,0.202328,5.430537,8.308066,23.045761,24.061478,4.366338,0.846558,0.000000
16/08/2022,15:17:50:969,3365733,898,51,8.873355,2.072385,0.186221,5.380686,7.639292,22.104065,23.991571,4.333618,1.130981,0.000000
16/08/2022,15:17:51:980,3366744,1126,52,8.866318,2.936293,0.211972,5.527657,8.675921,23.972185,23.990880,4.464862,0.839111,0.000000
16/08/2022,15:17:52:976,3367740,1397,51,8.844597,2.573257,0.206711,5.484772,8.264740,23.240811,23.963798,4.426741,0.782593,0.000000
16/08/2022,15:17:53:974,3368738,1482,52,8.830761,2.786292,0.205595,5.463750,8.455637,23.270266,23.939128,4.392509,0.803467,0.000000
16/08/2022,15:17:54:967,3369731,1532,50,8.769674,1.666786,0.228607,5.221503,7.116895,20.926558,23.831751,4.189676,0.877319,0.000000
16/08/2022,15:17:55:979,3370743,1309,48,8.673118,1.008063,0.168246,4.873479,6.049787,18.785811,23.652620,3.891068,0.842773,0.000000
16/08/2022,15:17:56:976,3371740,798,48,8.589073,1.119259,0.154518,5.074000,6.347777,19.609836,23.506502,4.067583,0.759033,0.000000
16/08/2022,15:17:57:987,3372751,1231,49,8.513509,1.294607,0.169930,5.000226,6.464763,19.426399,23.361367,3.993574,0.723511,0.000000
16/08/2022,15:17:58:987,3373751,1323,49,8.511675,2.812633,0.184979,5.465064,8.462675,23.478533,23.365594,4.407524,0.792603,0.000000
16/08/2022,15:17:59:978,3374742,938,0,8.445377,1.432011,0.156669,5.070365,6.659045,19.731333,23.235409,4.057164,0.726074,0.000000
16/08/2022,15:18:00:986,3375750,1203,48,8.359841,1.008035,0.154220,4.866368,6.028623,18.710851,23.075434,3.886911,0.774414,0.000000
16/08/2022,15:18:01:984,3376748,856,47,8.287438,1.106255,0.152739,5.091627,6.350620,19.728873,22.954838,4.091111,0.736084,0.000000
16/08/2022,15:18:02:982,3377746,1066,48,8.252788,2.162100,0.165003,4.988187,7.315290,20.648230,22.872624,3.990464,0.954712,0.000000
16/08/2022,15:18:03:985,3378749,1071,49,8.226559,1.926687,0.181327,5.406672,7.514685,22.025349,22.842515,4.358830,0.980835,0.000000
16/08/2022,15:18:04:980,3379744,804,48,8.235564,3.012200,0.172185,5.292828,8.477213,23.032680,22.849355,4.262036,1.181152,0.000000
16/08/2022,15:18:05:993,3380757,1131,48,8.166433,1.055466,0.158912,5.073839,6.288218,19.541443,22.731924,4.071303,1.112427,0.000000
16/08/2022,15:18:06:987,3381751,896,48,8.095443,1.112009,0.201543,4.890645,6.204197,19.148711,22.602288,3.916252,0.827881,1.343750
